Qx, Qy, Qz, Qw, x, y, z, q7
-0.733568,-0.673577,-0.0898446,0.00994695,0.405593,-0.0378236,0.325164,-0.287425
-0.733409,-0.673684,-0.0903108,0.0102782,0.405693,-0.0377451,0.325153,-0.287985
-0.733705,-0.673316,-0.0906125,0.0106009,0.405812,-0.0377392,0.325148,-0.287362
-0.734085,-0.672894,-0.0906619,0.0106434,0.40589,-0.0377455,0.325142,-0.286392
-0.734054,-0.672943,-0.0905693,0.0104502,0.405941,-0.0377284,0.325151,-0.286486
-0.733937,-0.67305,-0.090705,0.0106057,0.405975,-0.0377058,0.325164,-0.286963
-0.733935,-0.67301,-0.0909727,0.0109682,0.406016,-0.0377121,0.325193,-0.287273
-0.734179,-0.672703,-0.0912641,0.0111168,0.406075,-0.0377871,0.32518,-0.28686
-0.734378,-0.672448,-0.0915259,0.0111796,0.406129,-0.0378652,0.325161,-0.286527
-0.734461,-0.672319,-0.0917952,0.0112828,0.406137,-0.0379149,0.325157,-0.286536
-0.734356,-0.672389,-0.0921062,0.011465,0.406133,-0.0379429,0.325158,-0.287012
-0.734241,-0.672498,-0.0922475,0.0113022,0.406175,-0.0379761,0.325191,-0.28729
-0.734245,-0.672447,-0.0925782,0.011326,0.406114,-0.0380132,0.325209,-0.287454
-0.734403,-0.672224,-0.0929211,0.0115168,0.406068,-0.0380792,0.325189,-0.287392
-0.73443,-0.672182,-0.0930141,0.0114635,0.406048,-0.0380798,0.32516,-0.287362
-0.73431,-0.672289,-0.0931644,0.0117025,0.406011,-0.0380891,0.325142,-0.287692
-0.734421,-0.672146,-0.0932567,0.0121934,0.40595,-0.0381204,0.325125,-0.287538
-0.734534,-0.672039,-0.0931145,0.0123476,0.405928,-0.0381133,0.325107,-0.287146
-0.73441,-0.672187,-0.0930375,0.0122435,0.405948,-0.0380836,0.325072,-0.287435
-0.734487,-0.672067,-0.0932812,0.0124196,0.405998,-0.0380849,0.325095,-0.287451
-0.734465,-0.672044,-0.0936218,0.0123663,0.406017,-0.0381045,0.325124,-0.287686
-0.734538,-0.671906,-0.0940322,0.0124147,0.406062,-0.0381489,0.32514,-0.287782
-0.734442,-0.671986,-0.0942524,0.0121264,0.406143,-0.0381491,0.325179,-0.288178
-0.734121,-0.672303,-0.0945301,0.0118089,0.406202,-0.0381154,0.325189,-0.289123
-0.734341,-0.672017,-0.0948589,0.0117726,0.406266,-0.0381479,0.325224,-0.288801
-0.734411,-0.671899,-0.0951543,0.0117622,0.406311,-0.0381599,0.325246,-0.288939
-0.73449,-0.671777,-0.0954057,0.0117382,0.406379,-0.0381892,0.325255,-0.289013
-0.73459,-0.671652,-0.095552,0.0114365,0.406457,-0.03823,0.325234,-0.288846
-0.734479,-0.671762,-0.0956762,0.0111069,0.406552,-0.0381946,0.325236,-0.289212
-0.734659,-0.671526,-0.0959524,0.0110616,0.406726,-0.0381991,0.325212,-0.289003
-0.734665,-0.671483,-0.0962193,0.0109483,0.406969,-0.0381382,0.32521,-0.289211
-0.734655,-0.671457,-0.0964837,0.0108686,0.407258,-0.038042,0.325209,-0.289524
-0.734885,-0.671177,-0.0966751,0.0109256,0.407549,-0.0379748,0.3252,-0.289209
-0.735108,-0.670943,-0.0966185,0.010787,0.407714,-0.0379219,0.325225,-0.288714
-0.73503,-0.671078,-0.0963142,0.0104136,0.407881,-0.0378711,0.32521,-0.288855
-0.735159,-0.671007,-0.0958673,0.0100286,0.408091,-0.0379019,0.32513,-0.288384
-0.735288,-0.670921,-0.0955328,0.00949975,0.408272,-0.0379764,0.324994,-0.287874
-0.73505,-0.671166,-0.0956852,0.00907908,0.408476,-0.0380672,0.324863,-0.288557
-0.733142,-0.673147,-0.0963832,0.00934951,0.408681,-0.0379675,0.324824,-0.294513
-0.731516,-0.674738,-0.097543,0.00992145,0.409027,-0.0379342,0.324913,-0.300354
-0.731294,-0.674748,-0.0991379,0.00981465,0.409402,-0.0381903,0.325479,-0.302872
-0.732336,-0.673012,-0.103028,0.0111869,0.41003,-0.0384365,0.32655,-0.303292
-0.735026,-0.668758,-0.110834,0.0147115,0.411131,-0.0384305,0.328802,-0.299872
-0.741251,-0.660177,-0.12004,0.0174166,0.412906,-0.0383295,0.33224,-0.285154
-0.749103,-0.648485,-0.133464,0.0223429,0.4156,-0.0377487,0.337111,-0.264344
-0.75601,-0.636562,-0.149551,0.0295479,0.418971,-0.0364983,0.342975,-0.243873
-0.75854,-0.629512,-0.164664,0.0348981,0.422726,-0.0348964,0.349278,-0.233464
-0.758637,-0.624298,-0.182017,0.0399065,0.42704,-0.0325267,0.356137,-0.22726
-0.75682,-0.620025,-0.201892,0.0450908,0.431828,-0.0294634,0.36377,-0.223908
-0.755419,-0.614946,-0.22026,0.051668,0.436267,-0.0259404,0.371208,-0.21738
-0.753727,-0.610053,-0.237403,0.0580585,0.440792,-0.0221725,0.378424,-0.210471
-0.748526,-0.607114,-0.258069,0.0672398,0.445614,-0.0180308,0.386114,-0.213161
-0.742883,-0.604382,-0.277424,0.0767029,0.450286,-0.0137021,0.393945,-0.216418
-0.7398,-0.599848,-0.292822,0.0844582,0.455125,-0.00991569,0.401247,-0.211677
-0.735671,-0.594254,-0.312892,0.0880328,0.46124,-0.00635268,0.407959,-0.208178
-0.729423,-0.591125,-0.330929,0.0948694,0.466768,-0.0027929,0.415573,-0.211791
-0.723558,-0.588104,-0.345867,0.104755,0.471733,0.000921632,0.422937,-0.214489
-0.720388,-0.583377,-0.357,0.11517,0.476661,0.00420701,0.429885,-0.209868
-0.716027,-0.578988,-0.369324,0.125208,0.481829,0.00735952,0.43688,-0.208351
-0.711726,-0.574925,-0.38049,0.134666,0.486941,0.0105355,0.443752,-0.206439
-0.707536,-0.57122,-0.390027,0.144842,0.49171,0.0137903,0.450319,-0.204498
-0.703989,-0.567056,-0.398355,0.155435,0.496103,0.0170884,0.456864,-0.20004
-0.699358,-0.56277,-0.40798,0.166555,0.50064,0.0204847,0.463401,-0.197834
-0.695132,-0.558966,-0.41448,0.180427,0.504214,0.0241846,0.46939,-0.194228
-0.689774,-0.557158,-0.420403,0.19248,0.507374,0.0282028,0.475034,-0.194598
-0.683757,-0.555765,-0.427185,0.202767,0.510604,0.0319735,0.480398,-0.197742
-0.67898,-0.555229,-0.431632,0.210715,0.513276,0.0354887,0.485135,-0.199249
-0.658476,-0.566959,-0.462452,0.176367,0.506481,0.0566798,0.510286,-0.178183
-0.654984,-0.572518,-0.463485,0.168525,0.502786,0.0594517,0.512639,-0.177385
-0.649489,-0.580009,-0.464278,0.161863,0.498106,0.0628992,0.515205,-0.181178
-0.645477,-0.588133,-0.463725,0.149727,0.49353,0.0665624,0.517531,-0.180244
-0.641232,-0.595966,-0.463767,0.136258,0.489294,0.0704068,0.51966,-0.179324
-0.633388,-0.6055,-0.464464,0.128308,0.484434,0.074949,0.521664,-0.187593
-0.629546,-0.613115,-0.462385,0.118156,0.479633,0.079953,0.522934,-0.183094
-0.626989,-0.620277,-0.460222,0.101673,0.475576,0.0853095,0.523605,-0.173147
-0.622043,-0.627559,-0.459604,0.0894238,0.471453,0.091376,0.524148,-0.168209
-0.619456,-0.634595,-0.455386,0.0786545,0.466923,0.0981512,0.523981,-0.156107
-0.615763,-0.644669,-0.448938,0.0607656,0.462391,0.10553,0.523244,-0.145272
-0.61184,-0.653027,-0.444441,0.0409839,0.458657,0.11308,0.522724,-0.131853
