Qx, Qy, Qz, Qw, x, y, z, q7
-0.482311,-0.579359,-0.480871,0.447752,0.262238,0.277009,0.378306,-1.11166
-0.483186,-0.575999,-0.481777,0.450165,0.263936,0.276398,0.380092,-1.11515
-0.484241,-0.571651,-0.48422,0.451948,0.266239,0.275343,0.382058,-1.12312
-0.485138,-0.568114,-0.487163,0.452283,0.268759,0.273884,0.383882,-1.13102
-0.486769,-0.564722,-0.488632,0.453192,0.271127,0.271975,0.385564,-1.1335
-0.48822,-0.562102,-0.489431,0.454026,0.273256,0.269978,0.386838,-1.13602
-0.489211,-0.560856,-0.490284,0.453579,0.275204,0.267635,0.387404,-1.14138
-0.489373,-0.559897,-0.492084,0.45264,0.277099,0.265175,0.387414,-1.1562
-0.491172,-0.557416,-0.493418,0.4523,0.279028,0.262604,0.386932,-1.16632
-0.493834,-0.55418,-0.494638,0.452045,0.28095,0.259899,0.386046,-1.17471
-0.49658,-0.550407,-0.495569,0.452628,0.282705,0.257261,0.384955,-1.18503
-0.499426,-0.547095,-0.495583,0.453495,0.284091,0.25475,0.383629,-1.19247
-0.502572,-0.54406,-0.494449,0.454907,0.285079,0.252426,0.382164,-1.19511
-0.504912,-0.54165,-0.493105,0.456647,0.285529,0.250246,0.380966,-1.19989
-0.505968,-0.540807,-0.493209,0.456364,0.285824,0.247953,0.380075,-1.20946
-0.506882,-0.54109,-0.493547,0.454647,0.285966,0.245806,0.379034,-1.21606
-0.508093,-0.541846,-0.492993,0.452992,0.285876,0.243821,0.3781,-1.21631
-0.508817,-0.543173,-0.492129,0.451527,0.285539,0.242065,0.377305,-1.21614
-0.5067,-0.546561,-0.493115,0.448736,0.285198,0.240555,0.376759,-1.23077
-0.507482,-0.546569,-0.491826,0.449256,0.284845,0.239129,0.376363,-1.23199
-0.507716,-0.54602,-0.491208,0.450334,0.284482,0.23792,0.37627,-1.23823
-0.508037,-0.545577,-0.490821,0.450932,0.28399,0.236932,0.376234,-1.24262
-0.508168,-0.546025,-0.490615,0.450466,0.283222,0.236129,0.375997,-1.24488
-0.507556,-0.547497,-0.490557,0.449431,0.281887,0.235665,0.375849,-1.24742
-0.506139,-0.549727,-0.490321,0.448564,0.279724,0.235698,0.375686,-1.25094
-0.507105,-0.548898,-0.487042,0.452046,0.276554,0.236344,0.375709,-1.24059
-0.505068,-0.5491,-0.485669,0.455546,0.272584,0.237681,0.376005,-1.248
