Qx, Qy, Qz, Qw, x, y, z, q7
-0.844,-0.495781,-0.199476,0.0455457,0.495719,-0.131558,0.3121,-0.152312
-0.843436,-0.492297,-0.210606,0.0436485,0.49368,-0.121316,0.312197,-0.13201
-0.852623,-0.46272,-0.237771,0.0488778,0.484914,-0.105588,0.307355,-0.0651678
-0.860266,-0.41715,-0.284029,0.0725041,0.467955,-0.0823677,0.291449,-0.00114712
-0.859841,-0.380698,-0.316939,0.12366,0.444374,-0.0519973,0.267965,0.0211263
-0.858197,-0.375385,-0.317424,0.147737,0.425681,-0.0312252,0.241059,0.00817352
-0.857594,-0.394518,-0.299553,0.138402,0.411581,-0.0259594,0.223632,-0.0110295
-0.858168,-0.398449,-0.295266,0.132684,0.411833,-0.0289313,0.222969,-0.00931047
-0.857099,-0.401934,-0.297614,0.123519,0.417167,-0.0336356,0.232128,-0.00218668
-0.856344,-0.4058,-0.300285,0.108765,0.422665,-0.0383756,0.241337,0.00452979
-0.85602,-0.404798,-0.305207,0.10108,0.425522,-0.041999,0.247181,0.0064876
-0.858373,-0.400753,-0.304376,0.0997387,0.424964,-0.0453749,0.24764,0.00993528
-0.859618,-0.399682,-0.302527,0.0989384,0.422832,-0.0484248,0.246615,0.00585749
-0.860955,-0.398102,-0.301325,0.0973377,0.422255,-0.051199,0.248809,0.00684372
-0.857276,-0.400049,-0.310416,0.0931712,0.429489,-0.0531548,0.261886,0.0028406
-0.847799,-0.407984,-0.328923,0.0812075,0.447754,-0.0539031,0.286248,-0.00370236
-0.828235,-0.434748,-0.34854,0.0595041,0.472794,-0.0498872,0.315325,-0.0339644
-0.806334,-0.471107,-0.354647,0.0459218,0.499978,-0.0367063,0.339707,-0.064058
-0.7803,-0.520671,-0.344064,0.0406646,0.527881,-0.0158429,0.349949,-0.114157
-0.759698,-0.576149,-0.299617,0.033764,0.552744,0.00564854,0.340122,-0.165258
-0.747949,-0.61761,-0.241383,0.0293865,0.573494,0.0213352,0.316192,-0.198604
-0.737664,-0.651398,-0.176137,0.022533,0.585111,0.0296803,0.287717,-0.241815
-0.739884,-0.659007,-0.130641,0.034849,0.590447,0.0345535,0.263783,-0.25149
-0.744619,-0.659791,-0.0922472,0.0413274,0.59007,0.0370495,0.245269,-0.245747
-0.750026,-0.656208,-0.071613,0.041517,0.589748,0.038511,0.23325,-0.233665
-0.755013,-0.651499,-0.0574982,0.0468916,0.586073,0.0395454,0.225055,-0.221988
-0.748694,-0.660408,-0.0437563,0.0374765,0.581965,0.0376981,0.218451,-0.224521
-0.747493,-0.661973,-0.0462803,0.0300556,0.579836,0.0371621,0.213866,-0.223243
-0.737667,-0.672676,-0.0568519,0.0110425,0.581033,0.0350913,0.211527,-0.245804
-0.740721,-0.668651,-0.0647555,0.00664892,0.58168,0.0347449,0.210545,-0.234933
-0.747134,-0.661717,-0.0625946,0.00195207,0.580134,0.0361203,0.213525,-0.203548
0.740191,0.667018,0.084861,0.00162877,0.580506,0.0509419,0.22769,-0.188527
-0.735452,-0.668075,-0.1123,0.0132466,0.579554,0.0802807,0.25087,-0.154482
-0.722199,-0.675281,-0.147109,0.0279936,0.580119,0.120677,0.278013,-0.130881
-0.697857,-0.694082,-0.174448,0.0285406,0.580321,0.166396,0.30145,-0.10759
-0.674532,-0.713022,-0.188679,0.0317116,0.582214,0.214293,0.314664,-0.105111
-0.658508,-0.728128,-0.18627,0.0387343,0.57978,0.258666,0.31675,-0.102271
-0.652526,-0.732706,-0.184543,0.0574059,0.572338,0.300261,0.309157,-0.093797
-0.642993,-0.74359,-0.172705,0.0616961,0.560039,0.33268,0.292581,-0.097802
-0.643904,-0.743037,-0.166827,0.0738368,0.546864,0.357691,0.27398,-0.087319
-0.646352,-0.741796,-0.161108,0.0775326,0.535269,0.374358,0.257286,-0.0727623
-0.641698,-0.746451,-0.158872,0.0761161,0.526215,0.384842,0.245399,-0.0778126
-0.636138,-0.752266,-0.157195,0.0686628,0.51844,0.391308,0.23762,-0.0751205
-0.633842,-0.757667,-0.145769,0.0541788,0.514047,0.391534,0.228699,-0.068297
-0.632149,-0.759706,-0.147659,0.037825,0.514651,0.389765,0.222338,-0.0632395
-0.640176,-0.753191,-0.145651,0.0407819,0.514697,0.386955,0.217428,-0.053573
-0.646109,-0.746803,-0.149254,0.0505151,0.515982,0.384523,0.213616,-0.0579533
-0.643559,-0.746689,-0.157641,0.0586177,0.517836,0.382665,0.209943,-0.0839052
-0.647159,-0.739114,-0.172236,0.0723267,0.519322,0.383027,0.209215,-0.0924041
-0.635213,-0.743866,-0.190743,0.0823682,0.519427,0.38664,0.210047,-0.134475
