Qx, Qy, Qz, Qw, x, y, z, q7
-0.792437,-0.596537,-0.12656,0.0130588,0.296041,-0.0643295,0.372915,-0.284421
-0.792355,-0.596381,-0.127752,0.0135523,0.296195,-0.0642,0.37298,-0.284504
-0.792487,-0.595979,-0.128733,0.0141729,0.296525,-0.0640505,0.372814,-0.284572
-0.792641,-0.595733,-0.128959,0.0138765,0.296792,-0.063968,0.372892,-0.283653
-0.792565,-0.595689,-0.129512,0.014905,0.296898,-0.063912,0.372977,-0.28424
-0.792615,-0.595483,-0.130122,0.0151369,0.296955,-0.0639445,0.372931,-0.284073
-0.792767,-0.595185,-0.130518,0.0155019,0.297017,-0.063992,0.372882,-0.28402
-0.792906,-0.595074,-0.130169,0.0155777,0.297057,-0.064039,0.372879,-0.283667
-0.792857,-0.595055,-0.130533,0.0157771,0.296874,-0.0639515,0.372995,-0.283515
-0.792874,-0.595071,-0.13037,0.0156622,0.29679,-0.0639095,0.373039,-0.283596
-0.79284,-0.595223,-0.129935,0.0151688,0.296902,-0.0638755,0.373082,-0.283328
-0.791363,-0.597677,-0.127809,0.0138382,0.297735,-0.0644175,0.372767,-0.290701
-0.796191,-0.59307,-0.119322,0.0104651,0.298747,-0.0651195,0.374886,-0.276087
-0.801402,-0.582322,-0.136514,0.00438883,0.304643,-0.060562,0.38468,-0.241206
-0.804706,-0.568534,-0.170271,0.0149665,0.311356,-0.0409525,0.400889,-0.164924
-0.792082,-0.575114,-0.198636,0.0489308,0.309601,-0.004244,0.41684,-0.0924234
-0.765615,-0.60399,-0.204071,0.085935,0.297067,0.036387,0.42327,-0.0539151
-0.747702,-0.630293,-0.182368,0.102048,0.278153,0.0678805,0.416915,-0.00872827
-0.73881,-0.651708,-0.150254,0.0828278,0.262207,0.083812,0.402935,0.0253086
-0.724328,-0.670754,-0.149714,0.0549849,0.255974,0.090391,0.392365,0.0134028
-0.717021,-0.681414,-0.141675,0.0385243,0.25279,0.0907955,0.38252,-0.000405779
-0.714492,-0.686084,-0.134576,0.0260485,0.252076,0.088392,0.376549,-0.0098091
-0.710644,-0.691621,-0.128285,0.0137158,0.252898,0.0857725,0.372945,-0.0251244
-0.708439,-0.69289,-0.133395,0.0149296,0.252933,0.0866215,0.371961,-0.0326517
-0.710966,-0.690552,-0.13219,0.0138285,0.252909,0.08682,0.371544,-0.024694
-0.713492,-0.688058,-0.131432,0.0152062,0.253148,0.087154,0.371172,-0.0188519
-0.718802,-0.682807,-0.129808,0.0157794,0.253228,0.086991,0.370583,-0.00499762
-0.721453,-0.67997,-0.130024,0.015494,0.252924,0.0870625,0.370913,0.00434511
-0.723434,-0.676163,-0.138042,0.0197821,0.254268,0.0899915,0.379375,0.0220103
-0.724246,-0.672087,-0.153265,0.0166368,0.264966,0.100318,0.395508,0.0698428
-0.716431,-0.675328,-0.17497,0.00670243,0.284165,0.12178,0.413702,0.127151
-0.70974,-0.676026,-0.197742,0.0124795,0.305571,0.156641,0.428934,0.203871
-0.697594,-0.684745,-0.209973,0.0199731,0.327911,0.200395,0.435215,0.25453
-0.69211,-0.68764,-0.217476,0.0289673,0.346735,0.246957,0.437388,0.293223
-0.688494,-0.691144,-0.217153,0.0337771,0.35642,0.287112,0.433802,0.317924
-0.682007,-0.699375,-0.210687,0.0367695,0.358289,0.317125,0.424761,0.319206
-0.681076,-0.706854,-0.189492,0.0242157,0.358163,0.334944,0.408009,0.319481
-0.687352,-0.707022,-0.165577,0.0158871,0.356202,0.343452,0.389215,0.328139
-0.693068,-0.704381,-0.153013,0.00953204,0.3544,0.345942,0.374827,0.332067
-0.691523,-0.706765,-0.14908,0.00729894,0.351517,0.346549,0.366534,0.32493
-0.692707,-0.706524,-0.14467,0.00717833,0.348526,0.345434,0.360686,0.327345
-0.696727,-0.703127,-0.14169,0.0103396,0.346601,0.344378,0.355272,0.334059
-0.701586,-0.699485,-0.135277,0.0140518,0.344326,0.342919,0.351048,0.340813
-0.702231,-0.697937,-0.139584,0.0164765,0.343956,0.34206,0.351609,0.34006
-0.702586,-0.697434,-0.13955,0.0219939,0.343958,0.340839,0.350759,0.335485
-0.694957,-0.70394,-0.145022,0.0216977,0.344449,0.340228,0.350119,0.316155
-0.688036,-0.705073,-0.169506,0.027311,0.34606,0.341504,0.359131,0.306092
-0.68471,-0.704636,-0.183543,0.0311979,0.344854,0.338141,0.378305,0.306659
-0.661807,-0.718835,-0.209578,0.0369464,0.339726,0.328408,0.405508,0.262336
-0.646428,-0.727992,-0.224091,0.0440722,0.331762,0.303683,0.429355,0.220473
-0.640534,-0.732982,-0.222018,0.0562209,0.320863,0.265346,0.442438,0.179767
-0.642702,-0.732156,-0.216614,0.0629242,0.308812,0.218321,0.443489,0.144729
-0.654763,-0.728048,-0.19373,0.0608264,0.295303,0.164399,0.431217,0.0909922
-0.675724,-0.717404,-0.161799,0.0504923,0.281027,0.109426,0.41515,0.0341528
