Qx, Qy, Qz, Qw, x, y, z, q7
-0.646737,-0.748068,-0.130473,0.0714287,0.349506,0.120403,0.325436,-0.441799
-0.646767,-0.748012,-0.130777,0.0711919,0.349762,0.120507,0.325393,-0.441303
-0.646868,-0.747917,-0.130846,0.0711476,0.349955,0.120482,0.325334,-0.441227
-0.646985,-0.747884,-0.130551,0.0709722,0.350089,0.120469,0.325321,-0.44074
-0.646825,-0.748073,-0.13041,0.0706979,0.350102,0.120465,0.325281,-0.441205
-0.64692,-0.748024,-0.130297,0.0705527,0.350182,0.120403,0.325271,-0.441035
-0.646899,-0.748042,-0.130448,0.0702726,0.350148,0.120382,0.325305,-0.441012
-0.645565,-0.749371,-0.129967,0.069256,0.349835,0.120522,0.325518,-0.444214
-0.64609,-0.748977,-0.129271,0.0699213,0.349543,0.12033,0.325761,-0.441499
-0.644219,-0.750974,-0.128014,0.0680572,0.348985,0.120618,0.325749,-0.44534
-0.643637,-0.751828,-0.126448,0.0670626,0.348569,0.120737,0.325969,-0.446
-0.642809,-0.752657,-0.125654,0.0671956,0.34821,0.120733,0.326129,-0.449604
-0.643324,-0.75228,-0.124846,0.0679929,0.348222,0.120427,0.326073,-0.448854
-0.643261,-0.752517,-0.12356,0.0683085,0.348232,0.120178,0.325926,-0.448329
-0.643498,-0.75237,-0.122871,0.0689371,0.349189,0.120022,0.326024,-0.448299
-0.641218,-0.754394,-0.121864,0.0698411,0.349742,0.12064,0.326623,-0.455299
-0.642287,-0.752838,-0.125573,0.0702354,0.35061,0.122801,0.328275,-0.446465
-0.641693,-0.752692,-0.132111,0.0650528,0.35155,0.127386,0.331367,-0.433593
-0.644128,-0.747801,-0.145956,0.0677466,0.352398,0.137211,0.335705,-0.39651
-0.646383,-0.74347,-0.157044,0.0691252,0.35278,0.151523,0.340002,-0.343006
-0.64914,-0.734519,-0.179097,0.083805,0.35179,0.175633,0.347161,-0.263284
-0.659013,-0.71508,-0.203607,0.113604,0.345297,0.211052,0.356916,-0.119023
-0.64758,-0.716176,-0.21686,0.143886,0.331975,0.251085,0.366351,-0.0388477
-0.626237,-0.725426,-0.23082,0.168244,0.315573,0.293353,0.374978,0.0132346
-0.599735,-0.740726,-0.234048,0.192003,0.294382,0.333453,0.379918,0.0404754
-0.576023,-0.753786,-0.233799,0.212938,0.273861,0.369904,0.381004,0.0579105
-0.55981,-0.765654,-0.232907,0.214803,0.258852,0.398645,0.377031,0.0729096
-0.523464,-0.800372,-0.216863,0.195858,0.248164,0.414818,0.368408,-0.0130403
-0.524332,-0.807045,-0.198694,0.185134,0.241402,0.425357,0.358607,0.0108084
-0.550438,-0.791078,-0.183195,0.194044,0.237014,0.433258,0.348981,0.101171
-0.546937,-0.798737,-0.169523,0.18477,0.235411,0.435478,0.339343,0.08697
-0.535376,-0.811746,-0.167835,0.16209,0.235257,0.434725,0.332646,0.0524704
-0.547028,-0.805079,-0.172175,0.151538,0.237024,0.43505,0.326929,0.0892926
-0.545896,-0.805745,-0.176526,0.147008,0.240944,0.434606,0.322062,0.0734093
-0.533406,-0.813925,-0.185802,0.135948,0.247075,0.434111,0.320135,0.0213827
-0.528353,-0.819342,-0.182786,0.126929,0.252521,0.429422,0.321956,-0.0125281
-0.534202,-0.813634,-0.186247,0.13394,0.257677,0.416677,0.329894,-0.0223804
