Qx, Qy, Qz, Qw, x, y, z, q7
-0.637,-0.750161,-0.173066,0.0392169,0.447167,0.00471462,0.345626,-0.450239
-0.636076,-0.751806,-0.168382,0.0429264,0.44767,0.00681106,0.342416,-0.449108
-0.636488,-0.750319,-0.172891,0.0448649,0.449083,0.0113396,0.341302,-0.447223
-0.636795,-0.749218,-0.176032,0.0466698,0.451416,0.0131973,0.342695,-0.446515
-0.64755,-0.73869,-0.180202,0.0504343,0.454515,0.0120331,0.344584,-0.421107
-0.640881,-0.745857,-0.17665,0.0419876,0.455465,0.00660137,0.343478,-0.447772
-0.652462,-0.736348,-0.173182,0.0457538,0.456141,0.00825779,0.340966,-0.415113
-0.642728,-0.741309,-0.191002,0.0296598,0.468168,0.0427415,0.366767,-0.351429
-0.603902,-0.760755,-0.235364,0.0340307,0.478025,0.128169,0.418453,-0.248905
-0.547445,-0.799584,-0.242179,0.0481562,0.465794,0.218091,0.445474,-0.201513
-0.508594,-0.834921,-0.205437,0.0451223,0.445805,0.277521,0.427491,-0.183697
-0.507515,-0.848721,-0.147315,0.0199932,0.434244,0.294462,0.392844,-0.149413
-0.521627,-0.846677,-0.105065,0.00231489,0.431929,0.290489,0.371805,-0.112902
0.508618,0.855623,0.0958616,0.00523846,0.432346,0.287468,0.365925,-0.146134
0.500215,0.86012,0.099879,0.00183377,0.431778,0.288044,0.372017,-0.164885
-0.521948,-0.805275,-0.260795,0.105302,0.442346,0.27085,0.433477,-0.194349
-0.542683,-0.714399,-0.400486,0.186389,0.456135,0.199027,0.442481,-0.318666
-0.573039,-0.635435,-0.453431,0.249499,0.449852,0.137011,0.386971,-0.471459
-0.57062,-0.609941,-0.477782,0.272193,0.445252,0.115161,0.354979,-0.612342
-0.57017,-0.613075,-0.474867,0.271196,0.442836,0.115326,0.341446,-0.643466
-0.566632,-0.609231,-0.482661,0.273501,0.442395,0.117159,0.340659,-0.66172
-0.572613,-0.620118,-0.462408,0.271564,0.436812,0.117865,0.340742,-0.616795
-0.574377,-0.675958,-0.399154,0.232051,0.444825,0.14585,0.398172,-0.385042
-0.523336,-0.801044,-0.269667,0.108295,0.445049,0.226014,0.429688,-0.219956
-0.50455,-0.849299,-0.145975,0.0530248,0.434604,0.274909,0.392804,-0.147605
0.506859,0.85957,0.0649637,0.00369502,0.426789,0.278601,0.358265,-0.108992
0.502774,0.862817,0.0410252,0.0328858,0.424631,0.27496,0.342052,-0.105128
0.489438,0.870111,0.0409414,0.0410135,0.425073,0.272336,0.336077,-0.140834
0.500499,0.863002,0.0663464,0.0180802,0.428777,0.274478,0.345993,-0.136663
-0.497819,-0.837141,-0.218475,0.0603378,0.454037,0.261122,0.409917,-0.24991
-0.537008,-0.725306,-0.396716,0.16784,0.489852,0.199045,0.443634,-0.356009
-0.550823,-0.630224,-0.488328,0.246878,0.502474,0.132423,0.406045,-0.580997
-0.57341,-0.600207,-0.49311,0.260374,0.498509,0.105297,0.361444,-0.662747
-0.578066,-0.590528,-0.49674,0.265266,0.495603,0.103353,0.348969,-0.684625
-0.578186,-0.589041,-0.497057,0.267705,0.492704,0.106896,0.343088,-0.694166
-0.576613,-0.590842,-0.498897,0.263677,0.492487,0.107467,0.342778,-0.700201
-0.579787,-0.593112,-0.489979,0.268302,0.48843,0.107111,0.342688,-0.678976
-0.587543,-0.589065,-0.490179,0.259845,0.494292,0.109739,0.392177,-0.529423
-0.568634,-0.721155,-0.363452,0.156505,0.492463,0.178161,0.439097,-0.298786
-0.530777,-0.829683,-0.166029,0.0483353,0.457857,0.242247,0.414969,-0.178496
-0.494898,-0.866943,-0.059042,0.000416844,0.423783,0.276101,0.36154,-0.130555
0.492136,0.869096,0.0107978,0.0485545,0.412631,0.276209,0.327055,-0.0859544
0.485719,0.871495,-0.0142389,0.0661168,0.412119,0.268598,0.31245,-0.0943752
0.482259,0.872729,-0.0126554,0.0748974,0.412624,0.266475,0.308679,-0.102059
0.494656,0.866519,0.0532104,0.0403695,0.425344,0.27341,0.344218,-0.110556
-0.531062,-0.81937,-0.212795,0.0363816,0.478187,0.243218,0.416049,-0.201412
-0.567828,-0.73152,-0.361168,0.109576,0.530209,0.175633,0.438199,-0.329233
-0.612932,-0.63191,-0.432814,0.194102,0.555858,0.114664,0.404723,-0.442025
-0.607924,-0.594634,-0.471646,0.233215,0.549854,0.0974712,0.366589,-0.589739
-0.604838,-0.598245,-0.469395,0.236519,0.541789,0.0938935,0.342619,-0.652905
-0.605146,-0.59514,-0.470356,0.241603,0.538335,0.0946308,0.337362,-0.662376
-0.60312,-0.594863,-0.471838,0.244444,0.5359,0.0953133,0.337118,-0.667035
-0.616778,-0.580671,-0.468864,0.250145,0.533371,0.0918394,0.341561,-0.611018
-0.631476,-0.592064,-0.452863,0.213573,0.531169,0.082165,0.394447,-0.435404
-0.587435,-0.715292,-0.3557,0.129441,0.509069,0.152344,0.441373,-0.280537
-0.547234,-0.819046,-0.171834,0.0130587,0.478356,0.213403,0.40779,-0.176517
0.527293,0.847917,0.0442023,0.0323229,0.446528,0.248986,0.349066,-0.0913137
0.520439,0.852129,-0.0162999,0.0524862,0.420499,0.260331,0.305893,-0.0482703
0.501776,0.861479,-0.0202547,0.0752574,0.41476,0.259851,0.289291,-0.0743281
0.486326,0.870542,-0.0158068,0.0734436,0.41196,0.259616,0.285061,-0.112506
0.49542,0.866612,0.0405159,0.0435982,0.423008,0.268829,0.325455,-0.1262
-0.520085,-0.827562,-0.21067,0.0164291,0.488236,0.247989,0.42396,-0.238723
-0.553507,-0.726909,-0.394583,0.0976597,0.562222,0.183105,0.479383,-0.379536
-0.600648,-0.628511,-0.466053,0.164291,0.60576,0.118956,0.443653,-0.494044
-0.630506,-0.586846,-0.467456,0.198897,0.610713,0.0918945,0.387915,-0.566502
-0.640648,-0.582515,-0.456256,0.205127,0.609039,0.0790889,0.356706,-0.614354
-0.646148,-0.58296,-0.447953,0.204912,0.607025,0.0714688,0.338384,-0.641273
-0.644241,-0.583503,-0.447183,0.210962,0.602942,0.0702393,0.331183,-0.660634
-0.642632,-0.585395,-0.4466,0.21186,0.601449,0.0712499,0.329967,-0.664086
-0.64713,-0.581052,-0.445579,0.212276,0.60095,0.0707639,0.330011,-0.647671
-0.651762,-0.577911,-0.445426,0.206931,0.598535,0.0595876,0.353327,-0.587205
-0.6441,-0.636004,-0.398658,0.147332,0.580769,0.0349816,0.3873,-0.528349
-0.586192,-0.74689,-0.310391,0.0468105,0.53235,0.00200911,0.393537,-0.629756
0.621349,0.765719,0.166095,0.00352527,0.481791,-0.0437729,0.358709,-0.556733
0.635667,0.76268,0.116466,0.0261263,0.456294,-0.0621733,0.338916,-0.543628
0.633786,0.766858,0.0993983,0.0190839,0.445032,-0.0565974,0.334364,-0.541378
0.636954,0.763526,0.104601,0.0193945,0.443595,-0.0494634,0.332023,-0.532177
