Qx, Qy, Qz, Qw, x, y, z, q7
-0.666496,-0.708401,-0.213904,0.0905321,0.382883,0.0438876,0.331893,-0.367665
-0.666796,-0.707963,-0.214335,0.0907305,0.383191,0.0440238,0.331899,-0.367528
-0.668066,-0.706272,-0.215491,0.0918234,0.383639,0.044166,0.332214,-0.363016
-0.668551,-0.706046,-0.214436,0.0924931,0.383971,0.0446736,0.332916,-0.357661
-0.672514,-0.700313,-0.219355,0.0957592,0.387107,0.0473604,0.337082,-0.336939
-0.676358,-0.692512,-0.23343,0.0920722,0.39751,0.0524382,0.347164,-0.311488
-0.685375,-0.682831,-0.2359,0.0914004,0.409415,0.0607104,0.359202,-0.259374
-0.679065,-0.683679,-0.250435,0.093468,0.424352,0.0755208,0.371931,-0.245552
-0.670923,-0.68864,-0.256658,0.0988097,0.439621,0.09243,0.377008,-0.241513
-0.662819,-0.70021,-0.24789,0.0944816,0.453594,0.106094,0.373185,-0.25234
-0.65515,-0.715762,-0.220214,0.0998471,0.468887,0.129457,0.352513,-0.260215
-0.655202,-0.718367,-0.205159,0.11211,0.468073,0.135148,0.343595,-0.255893
-0.644847,-0.733588,-0.187143,0.104872,0.46528,0.135909,0.336161,-0.281643
-0.637614,-0.744527,-0.168364,0.103838,0.461848,0.134891,0.330008,-0.300332
-0.643792,-0.742538,-0.155473,0.0999915,0.460636,0.13309,0.324894,-0.28145
-0.648566,-0.741108,-0.142358,0.0992697,0.459789,0.130442,0.319163,-0.270705
-0.651493,-0.73968,-0.131478,0.105566,0.457545,0.128712,0.314262,-0.264508
-0.645281,-0.744351,-0.135831,0.105376,0.457046,0.128997,0.313616,-0.282311
-0.647336,-0.742562,-0.13513,0.10629,0.456973,0.12875,0.31314,-0.277267
-0.646283,-0.743395,-0.134649,0.10748,0.45712,0.128642,0.312374,-0.282039
-0.649051,-0.742325,-0.13179,0.101574,0.45775,0.128132,0.312176,-0.272356
-0.65377,-0.738461,-0.135198,0.0947702,0.458362,0.131494,0.314852,-0.247806
-0.633944,-0.753769,-0.139205,0.102806,0.458458,0.142139,0.32153,-0.287143
-0.622453,-0.762411,-0.148338,0.0963182,0.464752,0.160175,0.330182,-0.289596
-0.607219,-0.77256,-0.157121,0.0987412,0.473435,0.184622,0.338326,-0.302224
-0.60443,-0.772061,-0.169849,0.0986839,0.485695,0.213719,0.343928,-0.282098
-0.608661,-0.76491,-0.181608,0.10707,0.497862,0.243744,0.347097,-0.250785
-0.605086,-0.768049,-0.181718,0.104644,0.510542,0.268753,0.343959,-0.257053
-0.596968,-0.777938,-0.172591,0.0930288,0.519782,0.287851,0.337862,-0.279379
-0.599007,-0.778236,-0.164199,0.0926182,0.524465,0.304316,0.332804,-0.270864
-0.602478,-0.776647,-0.15814,0.093977,0.527002,0.316063,0.329085,-0.261905
-0.604165,-0.777157,-0.148979,0.0939021,0.527879,0.322794,0.32519,-0.259202
-0.607042,-0.776127,-0.144886,0.0901945,0.529395,0.326584,0.321751,-0.252662
-0.607203,-0.776778,-0.141198,0.0893467,0.529599,0.327748,0.318735,-0.254642
-0.606108,-0.7784,-0.136894,0.089365,0.529174,0.327458,0.315312,-0.259533
-0.604861,-0.780546,-0.130851,0.0881473,0.528353,0.325905,0.311532,-0.262895
-0.604719,-0.780564,-0.128777,0.091931,0.528401,0.324706,0.308793,-0.267292
-0.60926,-0.775515,-0.131242,0.100765,0.528952,0.325156,0.308384,-0.261547
-0.609158,-0.775897,-0.130512,0.0993834,0.529392,0.325181,0.308249,-0.261614
-0.615734,-0.769789,-0.133367,0.102518,0.53101,0.325519,0.308069,-0.248444
-0.607924,-0.774673,-0.146221,0.0945014,0.532264,0.323609,0.313992,-0.262843
-0.619075,-0.76045,-0.165022,0.105974,0.528637,0.316856,0.331472,-0.215359
-0.618537,-0.753281,-0.190429,0.117119,0.520214,0.300127,0.354591,-0.19526
-0.62294,-0.743876,-0.204331,0.129782,0.505481,0.274255,0.373872,-0.162465
-0.620246,-0.741927,-0.213543,0.138705,0.488533,0.244028,0.384683,-0.16299
-0.627003,-0.734596,-0.208592,0.154028,0.468867,0.211069,0.383678,-0.155335
-0.634293,-0.732364,-0.194702,0.152995,0.449263,0.177721,0.374066,-0.156062
-0.648402,-0.727313,-0.171946,0.145001,0.432152,0.14916,0.358834,-0.142159
-0.640375,-0.739269,-0.156156,0.137901,0.418559,0.128226,0.345551,-0.191638
-0.62837,-0.754071,-0.149951,0.118506,0.411439,0.115477,0.33645,-0.241151
-0.623119,-0.758387,-0.151725,0.116409,0.407959,0.111215,0.331892,-0.265708
-0.617644,-0.764019,-0.145956,0.116136,0.404626,0.108814,0.328719,-0.286784
-0.611672,-0.767701,-0.148264,0.120458,0.40264,0.109477,0.326804,-0.307818
-0.636674,-0.744652,-0.151388,0.131234,0.401663,0.112399,0.323525,-0.237689
-0.634415,-0.747792,-0.147411,0.128821,0.399812,0.111971,0.318944,-0.246582
-0.634846,-0.746438,-0.152157,0.12903,0.399061,0.113307,0.317166,-0.246055
-0.633151,-0.747371,-0.156349,0.126931,0.398654,0.114612,0.317258,-0.250453
-0.631636,-0.747715,-0.160594,0.127151,0.398648,0.115796,0.317442,-0.256257
-0.632738,-0.746634,-0.162464,0.125642,0.398892,0.116754,0.317634,-0.25471
-0.629285,-0.749954,-0.169091,0.113918,0.400692,0.120061,0.32078,-0.258875
-0.615729,-0.750275,-0.204156,0.127613,0.40448,0.139516,0.335696,-0.267769
-0.590342,-0.762663,-0.229803,0.13051,0.410387,0.171203,0.353849,-0.277871
-0.582201,-0.767187,-0.229249,0.141106,0.419995,0.207205,0.363873,-0.2481
-0.575451,-0.772812,-0.223602,0.14704,0.434152,0.241853,0.364008,-0.242471
-0.573946,-0.775573,-0.218504,0.146045,0.448161,0.271358,0.358626,-0.241667
-0.571757,-0.778836,-0.212737,0.14578,0.457319,0.294202,0.35072,-0.249093
-0.567762,-0.784951,-0.202753,0.142788,0.459524,0.310264,0.341449,-0.255261
-0.56838,-0.788828,-0.189646,0.136851,0.458876,0.31963,0.331838,-0.24844
-0.571614,-0.789168,-0.179316,0.135337,0.457782,0.324811,0.322936,-0.240174
-0.572736,-0.79043,-0.174573,0.129294,0.457297,0.326219,0.316859,-0.240305
-0.575915,-0.788517,-0.173917,0.127736,0.456469,0.326069,0.314213,-0.234228
-0.579572,-0.786144,-0.172124,0.128248,0.456025,0.325025,0.312361,-0.228234
-0.584563,-0.782675,-0.170448,0.129048,0.455888,0.323489,0.311298,-0.218553
-0.590089,-0.777711,-0.172203,0.131553,0.45643,0.322358,0.311382,-0.208173
-0.590643,-0.776593,-0.172316,0.13547,0.45697,0.321591,0.311168,-0.211488
-0.592199,-0.776037,-0.170489,0.134166,0.458004,0.321152,0.310856,-0.208514
-0.59309,-0.774538,-0.170492,0.13881,0.458867,0.321319,0.310011,-0.209751
-0.590488,-0.775996,-0.172466,0.139317,0.459602,0.32119,0.310276,-0.216987
-0.595436,-0.767843,-0.188015,0.143264,0.460457,0.319883,0.318912,-0.197298
-0.59517,-0.761239,-0.208916,0.150474,0.458095,0.310324,0.340779,-0.18394
-0.585693,-0.760959,-0.233159,0.15343,0.449741,0.288581,0.368065,-0.190768
-0.585629,-0.755984,-0.24791,0.155137,0.436261,0.257462,0.388243,-0.178232
-0.593444,-0.750332,-0.24244,0.161397,0.418388,0.222886,0.394353,-0.159856
-0.60333,-0.754596,-0.213212,0.145322,0.401762,0.187183,0.383576,-0.157457
-0.618592,-0.751623,-0.178749,0.14302,0.38503,0.159262,0.366538,-0.143151
-0.618417,-0.758878,-0.14833,0.140222,0.369394,0.139394,0.349895,-0.168466
-0.620808,-0.758297,-0.136975,0.144293,0.359291,0.129304,0.338635,-0.180508
