Qx, Qy, Qz, Qw, x, y, z, q7
-0.584063,-0.803936,-0.108828,0.0267141,0.438324,-0.00829461,0.331416,-0.912538
-0.584274,-0.803754,-0.108976,0.0269779,0.438406,-0.00835351,0.331454,-0.912466
-0.584207,-0.803723,-0.109602,0.0268249,0.438496,-0.00841208,0.331382,-0.913525
-0.584388,-0.803591,-0.109562,0.0269812,0.43846,-0.00844998,0.331342,-0.912948
-0.584336,-0.803673,-0.109259,0.0268989,0.438591,-0.0083947,0.331323,-0.912341
-0.584223,-0.803845,-0.108458,0.0274376,0.438429,-0.00852149,0.331299,-0.91267
-0.583807,-0.804312,-0.107414,0.026726,0.438398,-0.00869969,0.331052,-0.912697
-0.582195,-0.805965,-0.103837,0.0262372,0.438559,-0.00937179,0.330849,-0.916454
-0.573258,-0.813476,-0.0947009,0.0257576,0.439629,-0.00983707,0.331378,-0.943751
-0.571133,-0.815324,-0.0923103,0.0230833,0.444429,-0.00839971,0.33708,-0.947714
-0.562936,-0.819439,-0.107659,0.00563666,0.454698,0.000748564,0.348905,-0.949643
-0.544156,-0.828281,-0.133568,0.00220537,0.462429,0.0226013,0.364553,-0.955065
-0.501454,-0.850719,-0.157546,0.000298825,0.466713,0.0555885,0.379646,-0.993267
-0.427885,-0.885606,-0.180586,0.00228974,0.463727,0.0963295,0.391323,-1.09299
-0.35099,-0.916409,-0.192354,0.000875609,0.455943,0.137422,0.399293,-1.18092
0.262957,0.945291,0.193053,0.00311726,0.444681,0.174476,0.402009,-1.29363
-0.194594,-0.964238,-0.179938,0.000954468,0.430819,0.203729,0.399011,-1.36064
0.125071,0.980992,0.148276,0.00509897,0.420015,0.221929,0.39126,-1.44765
0.082151,0.987332,0.135708,0.00310771,0.410893,0.237801,0.381889,-1.48788
-0.0608976,-0.99133,-0.116429,0.00116175,0.405755,0.246115,0.371098,-1.50017
-0.0468432,-0.994547,-0.0930985,0.00395219,0.402193,0.248731,0.359586,-1.50737
-0.0288622,-0.995416,-0.0911741,0.00107952,0.398732,0.254229,0.347812,-1.52294
0.000211516,0.996357,0.0851225,0.00511451,0.395423,0.256484,0.338006,-1.57068
-0.013825,0.995703,0.0911073,0.00919157,0.391959,0.261192,0.331425,-1.58577
-0.0137051,0.996155,0.0863291,0.00585595,0.388233,0.262994,0.326381,-1.57435
