Qx, Qy, Qz, Qw, x, y, z, q7
-0.655465,-0.732634,-0.175435,0.0532597,0.447247,-0.0151494,0.295415,-0.603153
-0.655283,-0.732783,-0.175582,0.0529619,0.44741,-0.0149424,0.295472,-0.603283
-0.655399,-0.732617,-0.175779,0.0531692,0.447529,-0.0147798,0.295546,-0.603101
-0.655275,-0.732748,-0.175771,0.052903,0.447716,-0.014553,0.29567,-0.603275
-0.655377,-0.732528,-0.176304,0.0529123,0.447821,-0.0144282,0.295691,-0.603289
-0.655089,-0.732695,-0.17661,0.0531544,0.447967,-0.0142554,0.295706,-0.603911
-0.655167,-0.732566,-0.176619,0.053934,0.448376,-0.014118,0.295645,-0.603781
-0.655077,-0.732547,-0.176737,0.0548981,0.449249,-0.0139446,0.295473,-0.604387
-0.654849,-0.732848,-0.176414,0.0546319,0.449984,-0.0137886,0.295531,-0.604439
-0.654686,-0.733072,-0.176314,0.0539009,0.450413,-0.0137142,0.295601,-0.604599
-0.654666,-0.733157,-0.176232,0.0532522,0.450479,-0.0139362,0.295627,-0.604749
-0.654474,-0.73351,-0.175605,0.0528277,0.450605,-0.014313,0.295426,-0.605562
-0.654315,-0.73415,-0.173735,0.0520797,0.45057,-0.0147594,0.295162,-0.605244
-0.652855,-0.736316,-0.170464,0.0506065,0.450807,-0.0149892,0.294906,-0.60786
-0.65142,-0.738686,-0.166376,0.0481065,0.450929,-0.0148128,0.295185,-0.607829
-0.650165,-0.739726,-0.167601,0.0447325,0.451644,-0.0136128,0.297832,-0.604387
-0.649369,-0.739539,-0.172878,0.0389269,0.453073,-0.0096576,0.303982,-0.590056
-0.648662,-0.738499,-0.180855,0.033873,0.455927,-0.0023688,0.3123,-0.566209
-0.650287,-0.735236,-0.188036,0.0345998,0.458279,0.009174,0.322171,-0.524141
-0.648457,-0.733184,-0.20047,0.0419058,0.459632,0.0256044,0.332774,-0.48389
-0.641888,-0.73688,-0.205919,0.0508462,0.458681,0.0442914,0.339676,-0.452708
-0.626821,-0.750006,-0.203067,0.0578791,0.455494,0.0627726,0.339902,-0.44825
-0.619035,-0.760074,-0.185863,0.0673656,0.45013,0.0778314,0.332628,-0.431846
-0.617776,-0.764794,-0.168265,0.0716192,0.445261,0.0881766,0.322743,-0.408133
-0.619797,-0.767043,-0.149955,0.0707845,0.440272,0.0933612,0.312438,-0.384919
-0.623263,-0.767381,-0.134255,0.0681452,0.435871,0.0943122,0.303866,-0.367014
-0.622029,-0.770899,-0.123566,0.0593893,0.433324,0.0928854,0.297216,-0.366765
-0.619442,-0.773133,-0.121505,0.0615861,0.430281,0.093147,0.293588,-0.372316
-0.609217,-0.782865,-0.117076,0.047637,0.429421,0.0911514,0.290073,-0.396957
-0.597766,-0.791148,-0.122568,0.0416879,0.429619,0.0905844,0.28842,-0.42911
-0.602899,-0.787236,-0.121742,0.0441728,0.428204,0.089874,0.287984,-0.41531
-0.605776,-0.786458,-0.114128,0.0386598,0.427748,0.087465,0.288566,-0.404324
-0.618546,-0.774501,-0.12319,0.0487183,0.432905,0.0883146,0.298785,-0.378177
-0.621642,-0.769589,-0.137316,0.0493806,0.446494,0.0922842,0.31623,-0.371969
-0.623278,-0.766172,-0.151229,0.0404348,0.466321,0.101003,0.332443,-0.359113
-0.621086,-0.766613,-0.157948,0.0401129,0.48631,0.114461,0.342252,-0.3582
-0.618707,-0.768437,-0.158301,0.0405719,0.504076,0.130409,0.345291,-0.359309
-0.612959,-0.772542,-0.160821,0.0399493,0.518121,0.148327,0.344451,-0.366739
-0.610418,-0.774677,-0.159344,0.0432988,0.529086,0.164454,0.337492,-0.371037
-0.607982,-0.778301,-0.150172,0.0453164,0.536321,0.175477,0.325753,-0.38094
-0.606442,-0.781187,-0.141088,0.0454893,0.53971,0.181641,0.313857,-0.390105
-0.603587,-0.784784,-0.134244,0.0421274,0.539783,0.184183,0.305714,-0.400342
-0.603376,-0.784933,-0.133721,0.0440088,0.539469,0.185733,0.300671,-0.404383
-0.604025,-0.785017,-0.130958,0.0418501,0.539482,0.184867,0.295561,-0.405551
-0.604685,-0.785229,-0.128131,0.0367958,0.539657,0.183162,0.291942,-0.405785
-0.609946,-0.781723,-0.124216,0.0380171,0.539851,0.18155,0.288474,-0.396776
-0.607922,-0.784976,-0.114809,0.032593,0.540518,0.179087,0.2844,-0.404794
-0.612242,-0.78072,-0.118748,0.0391884,0.540571,0.179583,0.2835,-0.398267
-0.607825,-0.783939,-0.121141,0.0362265,0.539902,0.179354,0.283065,-0.40763
-0.610627,-0.781686,-0.121616,0.0362062,0.539729,0.178523,0.283376,-0.399343
-0.622709,-0.770386,-0.130992,0.0397433,0.538613,0.177859,0.29264,-0.362182
-0.626812,-0.763043,-0.156138,0.0222197,0.535079,0.175833,0.314968,-0.322271
-0.629161,-0.757688,-0.171436,0.025984,0.519836,0.173111,0.338031,-0.279924
-0.62789,-0.756678,-0.179066,0.0335773,0.498833,0.169051,0.35555,-0.24225
-0.632627,-0.754088,-0.166203,0.0592611,0.475675,0.163353,0.362182,-0.201605
-0.636612,-0.75664,-0.131772,0.0696916,0.455133,0.155201,0.35627,-0.169572
-0.628863,-0.76493,-0.117845,0.0743429,0.440358,0.151355,0.346328,-0.176679
-0.628099,-0.767531,-0.102068,0.0772714,0.428794,0.148397,0.332664,-0.173776
-0.626156,-0.769783,-0.0947125,0.0799473,0.421951,0.14782,0.318956,-0.18254
-0.627565,-0.769794,-0.0870004,0.0775302,0.417172,0.14747,0.307416,-0.183503
-0.627478,-0.772366,-0.0803838,0.0571037,0.415807,0.145963,0.298434,-0.185143
-0.630748,-0.770423,-0.0745726,0.0551745,0.413552,0.145955,0.292688,-0.181693
-0.629166,-0.770554,-0.0847757,0.0566513,0.412654,0.148742,0.290387,-0.189629
-0.627005,-0.77122,-0.0929236,0.0587346,0.41179,0.15128,0.288779,-0.196305
-0.61913,-0.777113,-0.0993187,0.0539325,0.412402,0.152635,0.286475,-0.216811
-0.614353,-0.781115,-0.0982409,0.052721,0.41229,0.152737,0.283992,-0.228227
-0.605247,-0.789497,-0.0922271,0.0431803,0.413054,0.151285,0.284514,-0.24685
-0.608748,-0.786471,-0.0939878,0.0453458,0.416447,0.151642,0.291977,-0.234708
-0.614062,-0.781051,-0.107071,0.037725,0.43003,0.152978,0.305957,-0.223471
-0.621261,-0.772442,-0.129333,0.0253173,0.450044,0.155595,0.324132,-0.211795
-0.625435,-0.766319,-0.145589,0.0197674,0.471043,0.159619,0.337782,-0.215325
-0.629156,-0.761607,-0.15425,0.0180384,0.490113,0.163567,0.34403,-0.224504
-0.63826,-0.753351,-0.157595,0.0158553,0.506686,0.16663,0.343637,-0.218776
-0.636957,-0.755609,-0.151889,0.0164682,0.517358,0.168238,0.339717,-0.243496
-0.631862,-0.761019,-0.145872,0.0179373,0.523582,0.169173,0.33453,-0.273331
-0.642497,-0.753109,-0.140084,0.0200138,0.5263,0.169956,0.327782,-0.249742
-0.643135,-0.753543,-0.134324,0.0225383,0.527921,0.168967,0.320691,-0.258357
-0.645913,-0.75256,-0.126065,0.0236258,0.527443,0.166751,0.313366,-0.258059
-0.648015,-0.75075,-0.125558,0.0261847,0.526903,0.165818,0.308905,-0.256869
-0.651656,-0.747071,-0.128269,0.0278705,0.526978,0.165844,0.30744,-0.248569
-0.649047,-0.750786,-0.119909,0.0260794,0.525966,0.164973,0.304853,-0.256231
-0.648393,-0.750933,-0.121069,0.0320577,0.52468,0.166823,0.302552,-0.256451
-0.649088,-0.750313,-0.122752,0.0254507,0.524782,0.167314,0.302181,-0.248771
-0.64054,-0.758254,-0.11937,0.0225931,0.523659,0.166334,0.302487,-0.272208
-0.636791,-0.759632,-0.131466,0.0131803,0.523204,0.166426,0.309707,-0.269955
0.629935,0.761754,0.150799,0.0131441,0.515292,0.168465,0.330302,-0.243127
0.605539,0.771941,0.192343,0.0208276,0.494852,0.180953,0.358464,-0.233706
-0.598234,-0.772662,-0.212276,0.006993,0.465391,0.195295,0.375385,-0.185638
-0.598048,-0.775036,-0.199833,0.0415304,0.439979,0.205161,0.374088,-0.148118
-0.601454,-0.777362,-0.172668,0.064403,0.422884,0.209173,0.360103,-0.127908
-0.602236,-0.779413,-0.155438,0.0752749,0.414397,0.211481,0.340781,-0.132598
-0.615248,-0.772413,-0.133771,0.0833857,0.406819,0.211321,0.320715,-0.110296
-0.620548,-0.769273,-0.125919,0.0853451,0.40185,0.212047,0.307025,-0.107712
-0.621581,-0.768977,-0.123498,0.0840296,0.399748,0.212935,0.29772,-0.114074
-0.619046,-0.772704,-0.117886,0.0762471,0.399794,0.21189,0.289886,-0.128935
-0.618262,-0.773123,-0.118608,0.0772291,0.399533,0.212269,0.285324,-0.135878
-0.609327,-0.7805,-0.1211,0.0698202,0.400497,0.211313,0.283434,-0.164303
-0.612723,-0.777807,-0.122171,0.068273,0.402061,0.210647,0.282556,-0.160931
-0.608669,-0.780334,-0.126108,0.0685416,0.403198,0.211061,0.281964,-0.175726
-0.603753,-0.784629,-0.12648,0.0619818,0.403783,0.210295,0.281382,-0.187996
-0.608587,-0.778703,-0.138543,0.0636394,0.40621,0.210475,0.289485,-0.172179
-0.616581,-0.770512,-0.15021,0.0597949,0.416122,0.206818,0.305304,-0.157014
-0.619826,-0.764545,-0.171586,0.0429529,0.436148,0.199453,0.324239,-0.166472
-0.629366,-0.754966,-0.181811,0.0294996,0.457333,0.188635,0.339845,-0.169237
-0.636,-0.746581,-0.194412,0.0180224,0.477631,0.179216,0.35193,-0.176597
-0.642535,-0.741771,-0.19171,0.01312,0.494375,0.170649,0.355702,-0.186322
-0.638349,-0.747804,-0.18223,0.00959631,0.50659,0.162844,0.355323,-0.227589
-0.648173,-0.740589,-0.177005,0.00832917,0.516992,0.157594,0.352872,-0.226084
-0.653757,-0.736617,-0.172475,0.0157853,0.523498,0.155539,0.349765,-0.234242
-0.657757,-0.734087,-0.167548,0.0199895,0.527924,0.154415,0.345531,-0.237647
-0.66053,-0.732247,-0.164021,0.0247493,0.530274,0.154396,0.341334,-0.238176
-0.659745,-0.733296,-0.16188,0.0284327,0.530963,0.154838,0.338375,-0.244879
-0.660534,-0.732696,-0.160107,0.0348924,0.530692,0.155971,0.336728,-0.244965
-0.659335,-0.733974,-0.15926,0.0345769,0.530426,0.157004,0.33554,-0.246098
-0.667044,-0.725841,-0.163548,0.0381925,0.529888,0.159597,0.333771,-0.217544
-0.663989,-0.729097,-0.162547,0.0333688,0.529051,0.160096,0.331333,-0.222021
-0.664477,-0.729603,-0.157652,0.0359926,0.527649,0.160749,0.327092,-0.220842
-0.666185,-0.727061,-0.162787,0.0328494,0.52762,0.161543,0.325923,-0.212376
-0.665206,-0.727348,-0.165574,0.0324256,0.527006,0.162205,0.325938,-0.213591
-0.662446,-0.72981,-0.166003,0.0313819,0.527345,0.161801,0.326011,-0.220968
-0.660396,-0.730351,-0.173424,0.019708,0.527093,0.162392,0.333863,-0.210752
-0.645172,-0.739098,-0.193524,0.00599096,0.524134,0.16795,0.354863,-0.220508
0.627434,0.747833,0.216683,0.0109943,0.514924,0.181294,0.381087,-0.204548
0.606674,0.756564,0.24394,0.0070727,0.497618,0.203186,0.406316,-0.179544
-0.593769,-0.764973,-0.249268,0.0109907,0.475715,0.226047,0.416798,-0.143152
-0.596483,-0.766282,-0.235511,0.0394243,0.454711,0.246313,0.409275,-0.0884092
-0.598391,-0.768968,-0.214577,0.0676263,0.435909,0.263047,0.389533,-0.0583881
-0.600965,-0.773017,-0.185578,0.0827438,0.421607,0.273217,0.362513,-0.049388
-0.601517,-0.775285,-0.1669,0.096198,0.41014,0.280698,0.337814,-0.0537968
-0.603606,-0.777434,-0.148151,0.0964737,0.401242,0.283983,0.315774,-0.0543709
-0.604802,-0.778246,-0.138012,0.0974714,0.393955,0.286,0.300909,-0.054387
-0.604303,-0.779794,-0.132575,0.095722,0.388739,0.286466,0.290659,-0.0582356
-0.600472,-0.784979,-0.124016,0.0886696,0.385822,0.284179,0.282251,-0.0732616
-0.595731,-0.78738,-0.130452,0.0901094,0.385906,0.283572,0.278166,-0.0925859
-0.590769,-0.790463,-0.134664,0.0895923,0.385962,0.282904,0.278313,-0.10853
-0.59317,-0.786352,-0.146831,0.0907787,0.389761,0.280739,0.287677,-0.107393
-0.594447,-0.784659,-0.155309,0.082594,0.399856,0.270945,0.304846,-0.116887
-0.60456,-0.77429,-0.173666,0.0694431,0.418666,0.25426,0.326804,-0.117668
-0.620947,-0.761043,-0.179865,0.0537262,0.441091,0.230642,0.346604,-0.117258
-0.636543,-0.745717,-0.192954,0.0385634,0.466834,0.206726,0.363105,-0.123966
-0.64797,-0.736398,-0.193349,0.0216435,0.488654,0.183982,0.372189,-0.139862
-0.656969,-0.728008,-0.195374,0.0150424,0.506192,0.168674,0.375659,-0.151285
-0.665795,-0.720225,-0.19335,0.0246665,0.518672,0.160337,0.372404,-0.157088
-0.661524,-0.727275,-0.181025,0.0261978,0.525134,0.154711,0.365803,-0.19222
-0.66811,-0.722504,-0.175712,0.0272622,0.529112,0.152405,0.359812,-0.184858
-0.665977,-0.724855,-0.173867,0.0288229,0.529887,0.151895,0.356333,-0.198671
-0.665517,-0.724616,-0.176011,0.0322244,0.530271,0.153331,0.35405,-0.202987
-0.664028,-0.725987,-0.175811,0.0331662,0.52993,0.154571,0.352058,-0.20803
-0.662749,-0.727077,-0.176208,0.0327594,0.530364,0.155567,0.350316,-0.212778
-0.662099,-0.728207,-0.172546,0.0395865,0.529997,0.156405,0.347495,-0.218879
-0.661948,-0.727583,-0.175759,0.0394583,0.53025,0.157321,0.34779,-0.216926
-0.659635,-0.72885,-0.178898,0.0406892,0.530291,0.157965,0.348375,-0.222899
-0.660607,-0.727339,-0.180559,0.0444368,0.529751,0.158772,0.348468,-0.218512
-0.657159,-0.730219,-0.181993,0.0424196,0.529957,0.15953,0.348501,-0.225778
-0.656785,-0.726068,-0.197592,0.0491513,0.529826,0.161324,0.354129,-0.223994
-0.645335,-0.731111,-0.218369,0.0365185,0.531496,0.156311,0.366552,-0.258973
-0.653674,-0.719167,-0.233346,0.0325508,0.531128,0.147619,0.378174,-0.239625
-0.66176,-0.70475,-0.253787,0.0315174,0.527608,0.135101,0.391276,-0.220714
-0.668866,-0.696826,-0.258023,0.0218332,0.52321,0.115861,0.397129,-0.221091
-0.66914,-0.696823,-0.257961,0.012057,0.518914,0.0956532,0.397155,-0.250041
-0.671441,-0.692093,-0.264114,0.0204564,0.512621,0.079941,0.393998,-0.268674
-0.67497,-0.687406,-0.267444,0.0190084,0.507109,0.0642594,0.387491,-0.283208
-0.67949,-0.682726,-0.267555,0.0243603,0.500851,0.047514,0.378707,-0.305955
-0.684378,-0.680961,-0.259093,0.0280922,0.496021,0.0292278,0.367891,-0.339836
-0.687605,-0.682428,-0.246038,0.0309483,0.490741,0.0109416,0.356631,-0.380043
-0.697614,-0.677768,-0.229268,0.037447,0.482936,-0.0036066,0.346848,-0.388611
-0.693513,-0.685341,-0.219068,0.0368416,0.473532,-0.0116682,0.339704,-0.423433
-0.688195,-0.695915,-0.20136,0.0392938,0.462491,-0.0150822,0.332509,-0.450959
-0.685301,-0.702344,-0.186724,0.0470139,0.450445,-0.014433,0.326895,-0.46162
-0.682811,-0.708937,-0.169837,0.0483052,0.440387,-0.013941,0.321677,-0.468864
-0.677024,-0.71706,-0.158635,0.047931,0.43355,-0.0122178,0.31599,-0.483885
-0.671874,-0.722682,-0.153153,0.053477,0.428907,-0.0085002,0.310459,-0.49521
-0.668808,-0.725287,-0.156369,0.0469517,0.429413,-0.0065622,0.309151,-0.503837
-0.672945,-0.720433,-0.160393,0.0489435,0.430792,-0.0040302,0.309975,-0.491889
-0.671477,-0.722453,-0.158962,0.043706,0.431414,-0.0029496,0.309789,-0.494343
-0.669907,-0.724214,-0.15834,0.040816,0.43202,-0.0017982,0.308518,-0.497373
-0.675384,-0.718552,-0.160417,0.0424903,0.432755,-0.0011748,0.307514,-0.481198
-0.677918,-0.716444,-0.158734,0.0440319,0.433113,-0.0010806,0.306551,-0.473679
-0.678912,-0.715747,-0.157587,0.0441808,0.433606,-0.000756,0.305939,-0.469727
-0.679078,-0.715846,-0.156734,0.0430309,0.434086,-1.32e-05,0.305793,-0.467442
-0.679073,-0.715504,-0.158097,0.0438077,0.434349,0.0010908,0.306102,-0.467296
