Qx, Qy, Qz, Qw, x, y, z, q7
-0.792437,-0.596537,-0.12656,0.0130588,0.355249,-0.0771954,0.307499,-0.391403
-0.792447,-0.596482,-0.126761,0.0130105,0.355373,-0.0771126,0.307576,-0.390946
-0.792459,-0.596371,-0.127189,0.0132099,0.355399,-0.0770526,0.307615,-0.390792
-0.792404,-0.596262,-0.127985,0.0136887,0.355498,-0.0770064,0.307531,-0.391475
-0.792439,-0.596101,-0.128485,0.0139769,0.355682,-0.076914,0.307439,-0.391542
-0.792487,-0.595979,-0.128733,0.0141729,0.355831,-0.0768606,0.307377,-0.391569
-0.792554,-0.595859,-0.128854,0.0143864,0.355948,-0.0768156,0.307367,-0.391373
-0.792545,-0.595752,-0.129495,0.0135631,0.35608,-0.076776,0.307439,-0.390813
-0.792568,-0.595801,-0.129,0.0147096,0.356203,-0.0767814,0.307514,-0.391318
-0.792647,-0.595716,-0.128905,0.0146889,0.356256,-0.0767532,0.307557,-0.390958
-0.792565,-0.595689,-0.129512,0.014905,0.356278,-0.0766944,0.307573,-0.391203
-0.792605,-0.595603,-0.129663,0.01486,0.356294,-0.0767082,0.307566,-0.390886
-0.792575,-0.595566,-0.129997,0.0150453,0.356349,-0.076716,0.307533,-0.391075
-0.792622,-0.595443,-0.13026,0.0152158,0.356342,-0.0767502,0.30751,-0.391093
-0.792696,-0.595271,-0.130562,0.0154574,0.35638,-0.0767736,0.307481,-0.391093
-0.792767,-0.595185,-0.130518,0.0155019,0.35642,-0.0767904,0.307458,-0.390961
-0.792769,-0.595189,-0.13047,0.0156298,0.356454,-0.0768042,0.307454,-0.391071
-0.792861,-0.595149,-0.130115,0.0154699,0.356489,-0.0768408,0.307452,-0.390682
-0.792933,-0.595032,-0.130197,0.0155993,0.356435,-0.0768492,0.307472,-0.390456
-0.792864,-0.595095,-0.130321,0.0156475,0.356336,-0.0767862,0.307544,-0.390421
-0.792857,-0.595055,-0.130533,0.0157771,0.356249,-0.0767418,0.307595,-0.390406
-0.79291,-0.594958,-0.13063,0.0159617,0.356171,-0.0767466,0.307624,-0.390461
-0.792909,-0.594992,-0.130497,0.015806,0.356159,-0.0767118,0.307648,-0.390491
-0.792905,-0.595075,-0.130186,0.0154449,0.356178,-0.0766806,0.307668,-0.39016
-0.792849,-0.5952,-0.129979,0.0152247,0.356234,-0.0766242,0.307742,-0.389952
-0.79284,-0.595223,-0.129935,0.0151688,0.356282,-0.0766506,0.307698,-0.3902
-0.792753,-0.595424,-0.129589,0.0148325,0.356608,-0.0767382,0.307542,-0.39097
-0.792084,-0.596799,-0.12727,0.015377,0.357115,-0.0770196,0.307322,-0.39516
-0.791326,-0.598017,-0.126387,0.0143046,0.357451,-0.077466,0.307458,-0.399625
-0.793497,-0.59581,-0.12315,0.0143499,0.357823,-0.077724,0.308175,-0.392707
-0.796191,-0.59307,-0.119322,0.0104651,0.358496,-0.0781434,0.309863,-0.382235
-0.7964,-0.591794,-0.124408,0.00703293,0.360899,-0.0772398,0.313591,-0.37844
-0.798846,-0.58668,-0.132745,0.00550702,0.363992,-0.0745962,0.31865,-0.36061
-0.80351,-0.578481,-0.140421,0.00355597,0.367196,-0.070053,0.324754,-0.326661
-0.805388,-0.572274,-0.154298,0.00669208,0.370849,-0.06153,0.332354,-0.29365
-0.804706,-0.568534,-0.170271,0.0149665,0.373627,-0.049143,0.341067,-0.259956
-0.802221,-0.56745,-0.183628,0.0268871,0.374411,-0.0333696,0.349553,-0.223523
-0.795747,-0.572397,-0.193632,0.0406822,0.372954,-0.0150876,0.356936,-0.195163
-0.786981,-0.57982,-0.203098,0.0567486,0.369706,0.0050178,0.363075,-0.170062
-0.77479,-0.59309,-0.206932,0.0715798,0.364376,0.0247566,0.366883,-0.158875
-0.765615,-0.60399,-0.204071,0.085935,0.35648,0.0436644,0.367924,-0.137846
-0.758401,-0.613213,-0.19848,0.096971,0.347776,0.0607962,0.366579,-0.113798
-0.750805,-0.624668,-0.189085,0.101628,0.338494,0.0753642,0.36297,-0.0965346
-0.746074,-0.634421,-0.174873,0.101509,0.329009,0.0869256,0.357119,-0.0763157
-0.742584,-0.643171,-0.160518,0.0955719,0.320812,0.0952992,0.350013,-0.0597443
-0.73881,-0.651708,-0.150254,0.0828278,0.314648,0.100574,0.343523,-0.0507004
-0.734839,-0.657683,-0.149576,0.0713606,0.310904,0.104982,0.338286,-0.0465232
-0.732713,-0.659789,-0.153966,0.0640594,0.308645,0.108739,0.333786,-0.0395279
-0.72265,-0.673157,-0.148332,0.0513216,0.306122,0.109021,0.328317,-0.0660461
-0.72024,-0.67708,-0.144618,0.0436267,0.304598,0.10918,0.323356,-0.070168
-0.717021,-0.681414,-0.141675,0.0385243,0.303348,0.108955,0.319024,-0.0789862
-0.716286,-0.682826,-0.139251,0.0359425,0.302322,0.108445,0.315842,-0.0815588
-0.715457,-0.684527,-0.136507,0.0301538,0.302288,0.107057,0.31313,-0.0855218
-0.713614,-0.687599,-0.132203,0.0219989,0.302668,0.105125,0.31068,-0.092837
-0.712083,-0.689981,-0.128797,0.0165806,0.30305,0.103591,0.308735,-0.0999801
-0.710644,-0.691621,-0.128285,0.0137158,0.303478,0.102927,0.307533,-0.106177
-0.709925,-0.692064,-0.129824,0.0141391,0.303503,0.103192,0.306909,-0.109579
-0.70878,-0.692709,-0.132527,0.0148884,0.303538,0.103768,0.306497,-0.113471
-0.708431,-0.692777,-0.134047,0.0147103,0.303491,0.104133,0.306275,-0.11402
-0.708883,-0.692408,-0.133637,0.0140747,0.303411,0.104297,0.306081,-0.111883
-0.710966,-0.690552,-0.13219,0.0138285,0.303491,0.104184,0.305853,-0.105703
-0.712288,-0.689323,-0.13143,0.0143474,0.303632,0.104212,0.30573,-0.102388
-0.713178,-0.688386,-0.131432,0.0150531,0.303755,0.10445,0.305536,-0.100161
-0.714057,-0.687488,-0.131328,0.0153449,0.30379,0.104658,0.305263,-0.0975918
-0.716259,-0.685268,-0.130888,0.0157574,0.303817,0.104657,0.304908,-0.0912202
-0.718802,-0.682807,-0.129808,0.0157794,0.303874,0.104389,0.3047,-0.0840372
-0.718757,-0.68289,-0.129603,0.0158884,0.303979,0.104366,0.304603,-0.0847119
-0.720679,-0.680825,-0.129772,0.0160784,0.303649,0.104456,0.304827,-0.0772587
-0.721409,-0.67986,-0.130943,0.0146432,0.303593,0.104578,0.305838,-0.0728405
-0.721329,-0.67928,-0.134159,0.0162731,0.303982,0.105533,0.309305,-0.069951
-0.723434,-0.676163,-0.138042,0.0197821,0.305122,0.10799,0.31525,-0.0543285
-0.727029,-0.671058,-0.143711,0.0213772,0.308426,0.111839,0.322434,-0.0273722
-0.724857,-0.672276,-0.149261,0.0186737,0.314116,0.117037,0.330352,-0.0130918
-0.724196,-0.671343,-0.156772,0.0161567,0.321929,0.124307,0.33885,0.0122257
-0.722684,-0.671063,-0.164911,0.0143718,0.330911,0.134075,0.347421,0.0407777
-0.716431,-0.675328,-0.17497,0.00670243,0.340998,0.146136,0.356442,0.0613266
-0.714283,-0.676447,-0.179391,0.00612591,0.350281,0.160442,0.364298,0.0944395
-0.711861,-0.675578,-0.191652,0.0108648,0.360973,0.178359,0.371747,0.130512
-0.707051,-0.678,-0.200648,0.0116795,0.372148,0.197672,0.376875,0.157728
-0.70075,-0.683772,-0.203164,0.0113606,0.382603,0.217896,0.379723,0.174658
-0.697594,-0.684745,-0.209973,0.0199731,0.393493,0.240474,0.382259,0.201443
-0.694064,-0.686155,-0.216533,0.0240756,0.404005,0.263518,0.38444,0.218969
-0.692286,-0.687742,-0.216933,0.0262913,0.411643,0.285867,0.384206,0.235288
-0.691899,-0.687381,-0.218523,0.0320901,0.419386,0.307051,0.384627,0.252264
-0.69131,-0.68751,-0.219394,0.0358726,0.424849,0.326957,0.383175,0.266459
-0.688494,-0.691144,-0.217153,0.0337771,0.427703,0.344535,0.380563,0.271177
-0.684986,-0.69495,-0.216182,0.0332301,0.429589,0.360055,0.377022,0.271684
-0.682122,-0.698479,-0.213416,0.03591,0.430144,0.374286,0.372449,0.270338
-0.681681,-0.701022,-0.206414,0.0356658,0.429692,0.385919,0.36638,0.273227
-0.680944,-0.704428,-0.197819,0.0310474,0.429592,0.395011,0.358488,0.272457
-0.681076,-0.706854,-0.189492,0.0242157,0.429796,0.401933,0.349611,0.272889
-0.681817,-0.708739,-0.180282,0.0176931,0.429386,0.406972,0.340448,0.273783
-0.68451,-0.708397,-0.171454,0.0149459,0.428495,0.410782,0.331626,0.277937
-0.687715,-0.706875,-0.164921,0.0133218,0.427657,0.413309,0.32361,0.282018
-0.689936,-0.706151,-0.158889,0.0096781,0.426934,0.414364,0.316266,0.282832
-0.693068,-0.704381,-0.153013,0.00953204,0.425279,0.415131,0.309792,0.286734
-0.69357,-0.703815,-0.153383,0.00891171,0.424578,0.415928,0.305348,0.286202
-0.692379,-0.705596,-0.150626,0.00757539,0.422784,0.415885,0.301425,0.281662
-0.691373,-0.706939,-0.148938,0.00763923,0.420949,0.415954,0.298475,0.27901
-0.691862,-0.706664,-0.147921,0.00852593,0.419511,0.415661,0.295851,0.2802
-0.692707,-0.706524,-0.14467,0.00717833,0.418231,0.414521,0.292824,0.28154
-0.694115,-0.705354,-0.143627,0.00719233,0.417367,0.413844,0.289957,0.284868
-0.695725,-0.703902,-0.142828,0.00940869,0.416487,0.413525,0.287505,0.2873
-0.697557,-0.702625,-0.140089,0.0103546,0.415463,0.412844,0.285188,0.290106
-0.697984,-0.702531,-0.138434,0.0102131,0.41477,0.41206,0.283159,0.289193
-0.701586,-0.699485,-0.135277,0.0140518,0.413192,0.411503,0.281258,0.296354
-0.701557,-0.698671,-0.139519,0.014565,0.413147,0.411286,0.282045,0.296745
-0.701984,-0.698067,-0.140252,0.0158408,0.412868,0.410839,0.282152,0.29624
-0.702917,-0.697356,-0.138899,0.0175808,0.412656,0.409996,0.28172,0.295902
-0.704262,-0.69606,-0.13828,0.0198635,0.412642,0.409283,0.281353,0.297143
-0.702586,-0.697434,-0.13955,0.0219939,0.41275,0.409007,0.280911,0.290494
-0.700158,-0.699501,-0.141296,0.0226422,0.412886,0.40873,0.280382,0.283375
-0.697599,-0.701612,-0.143514,0.0223625,0.41315,0.408364,0.280025,0.276503
-0.691812,-0.706578,-0.147325,0.0209483,0.413665,0.408272,0.28065,0.260752
-0.690886,-0.705695,-0.155315,0.0234131,0.414286,0.40882,0.283714,0.261278
-0.688036,-0.705073,-0.169506,0.027311,0.415273,0.409805,0.290958,0.258161
-0.687587,-0.704073,-0.175311,0.0277599,0.415237,0.408965,0.298734,0.260932
-0.686354,-0.703915,-0.18032,0.0301174,0.414208,0.40724,0.308422,0.260932
-0.68131,-0.706699,-0.188147,0.0315384,0.412925,0.404371,0.32007,0.253269
-0.669642,-0.714518,-0.199331,0.0362015,0.410418,0.400578,0.333059,0.224825
-0.661807,-0.718835,-0.209578,0.0369464,0.407672,0.39409,0.34661,0.21003
-0.654389,-0.723078,-0.217691,0.0392803,0.404249,0.384644,0.359448,0.191976
-0.649035,-0.726056,-0.223011,0.043156,0.400274,0.37215,0.370528,0.174462
-0.643891,-0.730075,-0.224457,0.0448838,0.395726,0.35589,0.379517,0.153382
-0.639853,-0.73295,-0.225772,0.0489838,0.39032,0.338046,0.38694,0.133482
-0.640534,-0.732982,-0.222018,0.0562209,0.385036,0.318415,0.390926,0.119204
-0.640052,-0.734215,-0.218469,0.059436,0.379363,0.296322,0.392597,0.100738
-0.640825,-0.733503,-0.217743,0.0624838,0.373377,0.273747,0.393092,0.0861541
-0.643486,-0.732607,-0.213179,0.0613817,0.367626,0.24947,0.390275,0.0692628
-0.646259,-0.733468,-0.20255,0.0578633,0.361217,0.223295,0.383964,0.0429042
-0.654763,-0.728048,-0.19373,0.0608264,0.354364,0.197279,0.37746,0.0215516
-0.660808,-0.7254,-0.183888,0.0575469,0.347907,0.170481,0.370355,-0.00834221
-0.667413,-0.723053,-0.170493,0.0518326,0.340875,0.144199,0.362265,-0.0400728
-0.682896,-0.712808,-0.152461,0.0480886,0.333544,0.118644,0.354012,-0.0453472
-0.686574,-0.71316,-0.13621,0.0382761,0.326625,0.0951006,0.345912,-0.0829379
-0.690895,-0.711166,-0.124279,0.0382471,0.319633,0.07557,0.339092,-0.115351
-0.698242,-0.70607,-0.110375,0.0417205,0.312914,0.058779,0.332413,-0.134897
-0.696765,-0.70946,-0.0970464,0.0420415,0.308073,0.0444378,0.325444,-0.176493
-0.705291,-0.702146,-0.0881098,0.0423396,0.305431,0.0328518,0.319488,-0.180409
-0.709549,-0.699708,-0.0765588,0.032971,0.304021,0.0224376,0.313925,-0.189054
-0.708558,-0.701376,-0.073056,0.0260749,0.304167,0.0161634,0.310004,-0.208599
-0.711308,-0.697667,-0.080631,0.0282839,0.305389,0.014475,0.308056,-0.213365
-0.712387,-0.695946,-0.0855178,0.0291698,0.30639,0.0144192,0.30666,-0.217561
-0.711263,-0.697089,-0.0864669,0.0263608,0.306938,0.0147636,0.305252,-0.223463
-0.711386,-0.696567,-0.0901733,0.0243693,0.307824,0.016311,0.304202,-0.223195
-0.711142,-0.696335,-0.0944671,0.0216869,0.308566,0.0184302,0.303408,-0.221409
-0.712097,-0.694636,-0.10002,0.0198458,0.309247,0.0210852,0.303176,-0.214819
-0.711351,-0.694539,-0.10603,0.0187777,0.309911,0.0237492,0.303449,-0.213933
-0.710236,-0.695075,-0.109146,0.0228541,0.309625,0.026535,0.303348,-0.216994
-0.712,-0.692819,-0.110491,0.0291394,0.308915,0.0289248,0.303101,-0.212245
-0.711908,-0.693196,-0.109239,0.0270773,0.308972,0.0298242,0.302448,-0.210567
-0.709861,-0.695984,-0.105794,0.0226188,0.308878,0.0300816,0.301494,-0.214533
-0.710133,-0.695637,-0.106312,0.0223067,0.309175,0.0306492,0.301059,-0.213777
-0.709294,-0.696639,-0.106113,0.0183587,0.309829,0.0305958,0.300579,-0.215561
-0.708082,-0.698009,-0.10599,0.0130383,0.310456,0.0304704,0.299822,-0.217453
-0.709088,-0.69692,-0.106256,0.0143357,0.310256,0.0309852,0.299156,-0.214666
-0.7087,-0.697139,-0.107344,0.0147609,0.309969,0.0315312,0.298826,-0.215575
-0.707601,-0.698078,-0.10853,0.0144506,0.309514,0.0319692,0.298735,-0.218226
-0.709331,-0.696371,-0.108194,0.0145486,0.309053,0.0319584,0.298379,-0.21288
-0.71284,-0.693141,-0.105884,0.0142434,0.308515,0.031473,0.297908,-0.201903
-0.71365,-0.69258,-0.104149,0.0137845,0.307951,0.031281,0.297683,-0.199117
-0.714834,-0.691799,-0.101428,0.0117713,0.30728,0.0311298,0.297652,-0.193104
-0.711849,-0.695471,-0.0977523,0.00592875,0.30695,0.0311892,0.298644,-0.196805
-0.71831,-0.687914,-0.103623,0.00825791,0.3083,0.0339132,0.301967,-0.171742
-0.726105,-0.678469,-0.110132,0.0179309,0.310971,0.0388122,0.306722,-0.142269
-0.729483,-0.674362,-0.112454,0.02107,0.315353,0.045201,0.311979,-0.117792
-0.729847,-0.672033,-0.123955,0.0181643,0.323609,0.0546906,0.318993,-0.0922845
-0.730151,-0.668389,-0.140481,0.0200331,0.333818,0.0678996,0.327656,-0.0611616
-0.725538,-0.670864,-0.152378,0.017777,0.344204,0.0830358,0.336897,-0.0394354
-0.721539,-0.67154,-0.168095,0.0126219,0.356003,0.100957,0.347183,-0.0093537
-0.718935,-0.66887,-0.188618,0.0129495,0.369248,0.121246,0.357821,0.0248809
-0.713341,-0.670334,-0.203811,0.0160661,0.382023,0.142814,0.366994,0.0448974
-0.707001,-0.672999,-0.216499,0.0186774,0.394808,0.165279,0.374945,0.060183
-0.700782,-0.67453,-0.231358,0.0196568,0.407227,0.188374,0.382577,0.0765133
-0.695349,-0.675645,-0.243635,0.0252256,0.417656,0.212067,0.38883,0.0917349
-0.693381,-0.675895,-0.247141,0.0362087,0.425582,0.235398,0.392106,0.110914
-0.689666,-0.679411,-0.246858,0.0426854,0.432436,0.257267,0.393163,0.120637
-0.684531,-0.685293,-0.243901,0.0479824,0.438187,0.278074,0.391447,0.120952
-0.679559,-0.692696,-0.236844,0.0477077,0.44231,0.296615,0.387428,0.119773
-0.67721,-0.697635,-0.228635,0.0491817,0.445643,0.31399,0.381773,0.122477
-0.679028,-0.696973,-0.224357,0.0530458,0.449132,0.329299,0.374306,0.138531
-0.680589,-0.699555,-0.212271,0.0486098,0.451133,0.341139,0.365007,0.145303
-0.681353,-0.701876,-0.202367,0.0466583,0.45243,0.351364,0.355289,0.148448
