Qx, Qy, Qz, Qw, x, y, z, q7
0.765394,0.622706,0.162205,0.00987905,0.302065,-0.0405133,0.271986,-0.291161
0.765052,0.623175,0.161791,0.013133,0.302529,-0.0405952,0.271233,-0.286435
-0.759995,-0.634232,-0.141675,0.00925731,0.300781,-0.0365345,0.273999,-0.292203
-0.731549,-0.661003,-0.166242,0.0165622,0.349552,0.00469066,0.296777,-0.245311
-0.635883,-0.744426,-0.201847,0.0272172,0.400978,0.105274,0.313445,-0.284468
-0.468019,-0.861981,-0.192626,0.0290134,0.409621,0.198715,0.305711,-0.459411
0.307988,0.938971,0.151856,0.02042,0.406119,0.236452,0.285783,-0.61269
0.234562,0.963453,0.1272,0.0236592,0.393907,0.249394,0.270884,-0.678193
0.206412,0.973572,0.0912658,0.0349594,0.390169,0.247764,0.26336,-0.690093
0.19624,0.976784,0.0761756,0.0397607,0.385347,0.245439,0.258287,-0.683774
0.177807,0.980903,0.0681282,0.0396648,0.38129,0.242678,0.256098,-0.708977
0.194972,0.977231,0.0792313,0.026965,0.381496,0.241111,0.254469,-0.698495
-0.394651,-0.911683,-0.11082,0.0283539,0.393154,0.237596,0.25831,-0.419845
-0.586142,-0.782356,-0.182556,0.10502,0.398278,0.242858,0.262294,-0.123743
-0.68213,-0.684319,-0.227479,0.121077,0.397676,0.248565,0.265639,0.0842772
-0.6677,-0.691771,-0.251051,0.112266,0.401649,0.249334,0.277353,0.0505026
-0.388925,-0.901116,-0.187375,0.0402301,0.39565,0.239391,0.282551,-0.528185
0.201885,0.96926,0.135783,0.0366216,0.396121,0.229957,0.266478,-0.738963
0.141173,0.981125,0.129361,0.0270196,0.384303,0.233952,0.258155,-0.818619
0.13518,0.984342,0.110495,0.0242483,0.378768,0.234038,0.251308,-0.824507
-0.253894,-0.959549,-0.12129,0.00962018,0.382328,0.233959,0.254978,-0.659082
-0.48314,-0.857769,-0.164186,0.0620487,0.390226,0.237268,0.257642,-0.289038
-0.648453,-0.717165,-0.236287,0.0966995,0.390103,0.246956,0.263501,0.0396185
-0.678276,-0.677256,-0.265267,0.104402,0.393165,0.251365,0.267779,0.0911561
-0.558949,-0.784381,-0.253921,0.0885812,0.394894,0.246091,0.285098,-0.216499
-0.278935,-0.941644,-0.187474,0.0188363,0.389952,0.238694,0.278981,-0.703206
0.170086,0.975754,0.136011,0.021802,0.38913,0.233584,0.262193,-0.80539
0.128191,0.984146,0.121049,0.0192715,0.378269,0.235288,0.24899,-0.847127
0.16681,0.977851,0.126056,0.00958444,0.377688,0.236563,0.251309,-0.795448
-0.357254,-0.922406,-0.135202,0.0570803,0.374922,0.238099,0.258366,-0.511765
-0.565208,-0.790417,-0.20798,0.111916,0.379285,0.250636,0.2616,-0.150724
-0.648034,-0.706421,-0.257001,0.12236,0.381218,0.257825,0.265504,0.00885079
-0.619025,-0.731998,-0.265329,0.102894,0.381284,0.252841,0.280111,-0.0566197
-0.396303,-0.889353,-0.226027,0.0301136,0.383402,0.248627,0.288541,-0.48214
0.197069,0.968489,0.15181,0.012097,0.377331,0.244682,0.273286,-0.751862
0.135679,0.983893,0.115917,0.0104284,0.367143,0.242156,0.255914,-0.81289
0.151393,0.980322,0.126587,0.0050549,0.366857,0.244323,0.253451,-0.799782
-0.260017,-0.955372,-0.138047,0.024459,0.370119,0.243964,0.257949,-0.657579
-0.454673,-0.866798,-0.184682,0.0884706,0.374848,0.250584,0.263043,-0.366429
-0.595706,-0.750243,-0.250794,0.139184,0.375238,0.260803,0.264188,-0.123959
-0.651823,-0.690923,-0.279037,0.141031,0.378368,0.261319,0.26818,0.00158232
-0.654977,-0.685939,-0.283902,0.141037,0.379232,0.260217,0.268108,0.00602657
-0.652549,-0.683849,-0.291407,0.147008,0.380366,0.260696,0.27882,-0.00259642
-0.634514,-0.711231,-0.283171,0.106571,0.386272,0.235959,0.305442,-0.0811728
-0.62842,-0.726738,-0.275566,0.0316841,0.391136,0.166932,0.322823,-0.17756
-0.675474,-0.701449,-0.227337,0.00472874,0.374625,0.0786132,0.304986,-0.220049
0.719669,0.671738,0.174488,0.0199594,0.353224,0.00845404,0.287658,-0.248142
0.759544,0.631604,0.151117,0.0365046,0.339156,-0.0326736,0.286825,-0.225269
0.774731,0.615227,0.140511,0.0393005,0.333779,-0.0500184,0.273574,-0.233
