Format Version,1.2,Take Name,dir_front_or_top_dx_lin,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-03-26 10.41.09.639 AM,Total Frames,4334,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,arm_EE,arm_EE,arm_EE,arm_elbow,arm_elbow,arm_elbow,arm_hand,arm_hand,arm_hand,arm_finger,arm_finger,arm_finger,arm_shoulder,arm_shoulder,arm_shoulder
,,"8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.582937,0.105171,0.028899,0.264289,-0.116975,0.122028,0.448277,0.070882,0.046652,0.538202,0.133754,0.047490,0.203579,0.188765,0.041753
1,0.016667,0.583226,0.102539,0.030045,0.264742,-0.119668,0.123374,0.448552,0.068271,0.047715,0.538450,0.131166,0.048544,0.205499,0.186475,0.043100
2,0.033333,0.583302,0.100024,0.031153,0.265520,-0.122741,0.124762,0.448712,0.065432,0.048517,0.538414,0.128552,0.049491,0.207526,0.183516,0.044203
3,0.050000,0.583219,0.097494,0.032236,0.266763,-0.125768,0.126319,0.448734,0.062461,0.049261,0.538199,0.125879,0.050419,0.209587,0.180194,0.045277
4,0.066667,0.583068,0.094795,0.033189,0.268056,-0.128771,0.127736,0.448712,0.059379,0.050013,0.538024,0.122992,0.051431,0.211612,0.176724,0.046110
5,0.083333,0.583051,0.091709,0.033746,0.268933,-0.131799,0.128452,0.448766,0.056184,0.050633,0.538055,0.119799,0.052237,0.213521,0.173449,0.046733
6,0.100000,0.583251,0.088201,0.034039,0.267295,-0.136739,0.127089,0.448892,0.052863,0.050851,0.538298,0.116332,0.052544,0.215209,0.170533,0.047156
7,0.116667,0.583564,0.084378,0.034008,0.267016,-0.139459,0.127363,0.449093,0.049482,0.050679,0.538679,0.112656,0.052444,0.216646,0.168265,0.047531
8,0.133333,0.583895,0.080460,0.033651,0.266394,-0.141590,0.127519,0.449306,0.046131,0.050337,0.539153,0.108894,0.052099,0.217920,0.166645,0.047908
9,0.150000,0.584404,0.076419,0.033006,0.265593,-0.143078,0.127734,0.449671,0.042991,0.049848,0.539941,0.105079,0.051606,0.219100,0.165639,0.048121
10,0.166667,0.585233,0.072277,0.032039,0.264732,-0.143943,0.128096,0.450268,0.040240,0.049222,0.541181,0.101301,0.050818,0.220295,0.165653,0.048867
11,0.183333,0.586215,0.068226,0.030722,0.263848,-0.144364,0.128499,0.450987,0.037788,0.048429,0.542635,0.097679,0.049629,0.221395,0.165852,0.049045
12,0.200000,0.587175,0.064523,0.029204,0.263064,-0.144435,0.129014,0.451680,0.035551,0.047383,0.543971,0.094436,0.048176,0.222422,0.166367,0.049407
13,0.216667,0.587968,0.061231,0.027499,0.262531,-0.144357,0.129678,0.452289,0.033633,0.046308,0.545147,0.091607,0.046538,0.223464,0.166982,0.049845
14,0.233333,0.588480,0.058553,0.025669,0.262217,-0.144358,0.130429,0.452681,0.032034,0.045225,0.545991,0.089256,0.044845,0.224487,0.167426,0.050351
15,0.250000,0.588656,0.056604,0.023926,0.262256,-0.144560,0.131271,0.452857,0.030721,0.044289,0.546460,0.087438,0.043280,0.225491,0.167552,0.051025
16,0.266667,0.588605,0.055293,0.022165,0.262733,-0.145084,0.132174,0.452990,0.029643,0.043461,0.546659,0.086130,0.041753,0.226409,0.167260,0.051846
17,0.283333,0.588553,0.054419,0.020361,0.263716,-0.145911,0.133092,0.453165,0.028798,0.042560,0.546844,0.085165,0.040198,0.227189,0.166539,0.052829
18,0.300000,0.588580,0.053806,0.018465,0.265098,-0.147016,0.133958,0.453423,0.028059,0.041553,0.547029,0.084418,0.038523,0.227854,0.165457,0.054016
19,0.316667,0.588598,0.053308,0.016496,0.266702,-0.148306,0.134742,0.453690,0.027301,0.040566,0.547177,0.083781,0.036755,0.228436,0.164105,0.055330
20,0.333333,0.588580,0.052827,0.014520,0.268344,-0.149788,0.135318,0.453963,0.026370,0.039566,0.547235,0.083155,0.035031,0.229005,0.162620,0.056638
21,0.350000,0.588576,0.052170,0.012673,0.269867,-0.151232,0.135698,0.454269,0.025302,0.038516,0.547267,0.082373,0.033371,0.229537,0.161199,0.057920
22,0.366667,0.588711,0.051151,0.010902,0.271035,-0.152602,0.135734,0.454635,0.024129,0.037493,0.547537,0.081292,0.031765,0.229930,0.159968,0.059155
23,0.383333,0.589111,0.049697,0.009117,0.271889,-0.153784,0.135457,0.455147,0.022959,0.036458,0.548114,0.079896,0.030167,0.230186,0.158945,0.060344
24,0.400000,0.589708,0.047886,0.007245,0.272477,-0.154837,0.134986,0.455834,0.021675,0.035359,0.548996,0.078227,0.028563,0.230352,0.158110,0.061384
25,0.416667,0.590426,0.045856,0.005417,0.272940,-0.155818,0.134323,0.456524,0.020303,0.034022,0.549956,0.076377,0.026861,0.230506,0.157334,0.062043
26,0.433333,0.591120,0.043753,0.003679,0.273203,-0.156738,0.133444,0.457162,0.018727,0.032672,0.550811,0.074427,0.025138,0.230641,0.156632,0.062434
27,0.450000,0.591786,0.041598,0.002058,0.273336,-0.157609,0.132425,0.457829,0.017029,0.031324,0.551607,0.072433,0.023586,0.230816,0.156026,0.062479
28,0.466667,0.592503,0.039276,0.000611,0.273314,-0.158396,0.131262,0.458523,0.015239,0.030032,0.552500,0.070253,0.022240,0.231012,0.155562,0.062250
29,0.483333,0.593383,0.036631,-0.000697,0.273086,-0.159065,0.129937,0.459348,0.013397,0.028717,0.553603,0.067822,0.020921,0.231277,0.155252,0.061799
30,0.500000,0.594499,0.033612,-0.002002,0.272731,-0.159659,0.128451,0.460270,0.011450,0.027308,0.554957,0.065109,0.019541,0.231685,0.155074,0.061135
31,0.516667,0.595650,0.030416,-0.003351,0.272257,-0.160241,0.126852,0.461280,0.009293,0.025948,0.556331,0.062197,0.018149,0.232218,0.154952,0.060297
32,0.533333,0.596911,0.027076,-0.004606,0.271822,-0.160829,0.125183,0.462355,0.006885,0.024486,0.557830,0.059063,0.016841,0.232844,0.154840,0.059348
33,0.550000,0.598376,0.023478,-0.005829,0.271505,-0.161489,0.123447,0.463653,0.004443,0.023017,0.559564,0.055729,0.015571,0.233478,0.154694,0.058411
34,0.566667,0.599966,0.019791,-0.007053,0.271230,-0.162217,0.121697,0.465053,0.001961,0.021603,0.561444,0.052320,0.014291,0.234209,0.154460,0.057578
35,0.583333,0.601512,0.016234,-0.008394,0.271184,-0.163087,0.119977,0.466415,-0.000567,0.020237,0.563240,0.048996,0.012997,0.235023,0.154118,0.056881
36,0.600000,0.603058,0.012782,-0.009778,0.271322,-0.163982,0.118435,0.467847,-0.003158,0.018848,0.565023,0.045743,0.011645,0.235926,0.153670,0.056240
37,0.616667,0.604647,0.009354,-0.011236,0.271646,-0.164936,0.117067,0.469347,-0.005651,0.017401,0.566856,0.042588,0.010166,0.236921,0.153100,0.055638
38,0.633333,0.606182,0.006142,-0.012795,0.272151,-0.165943,0.115920,0.470567,-0.007552,0.016392,0.568585,0.039597,0.008532,0.237962,0.152378,0.055136
39,0.650000,0.607441,0.003406,-0.014427,0.272838,-0.166935,0.115073,0.471788,-0.009743,0.015049,0.569989,0.037036,0.006932,0.238996,0.151641,0.054755
40,0.666667,0.608435,0.001116,-0.015895,0.273522,-0.167885,0.114430,0.472835,-0.011707,0.013853,0.571108,0.034844,0.005528,0.239956,0.150858,0.054446
41,0.683333,0.609347,-0.000951,-0.017207,0.274167,-0.168652,0.114063,0.473802,-0.013302,0.012949,0.572225,0.032920,0.004300,0.240743,0.150214,0.054462
42,0.700000,0.610151,-0.002825,-0.018100,0.274547,-0.169273,0.113810,0.474613,-0.014552,0.012343,0.573208,0.031223,0.003472,0.241366,0.149671,0.054610
43,0.716667,0.610746,-0.004281,-0.018349,0.274677,-0.169705,0.113706,0.475144,-0.015550,0.012071,0.573898,0.029912,0.003113,0.241825,0.149335,0.054933
44,0.733333,0.611068,-0.005345,-0.018012,0.274530,-0.169922,0.113847,0.475441,-0.016258,0.012377,0.574327,0.028937,0.003524,0.242052,0.149229,0.055526
45,0.750000,0.611254,-0.006134,-0.017009,0.274098,-0.169935,0.114273,0.475588,-0.016685,0.013255,0.574616,0.028233,0.004602,0.242108,0.149292,0.056229
46,0.766667,0.611278,-0.006659,-0.015360,0.273328,-0.169821,0.114950,0.475511,-0.016837,0.014690,0.574694,0.027797,0.006267,0.241996,0.149490,0.057026
47,0.783333,0.611033,-0.006810,-0.013040,0.272328,-0.169558,0.116017,0.475158,-0.016810,0.016729,0.574462,0.027682,0.008578,0.241794,0.149769,0.057933
48,0.800000,0.610585,-0.006678,-0.009952,0.271134,-0.169239,0.117538,0.474615,-0.016627,0.019404,0.573955,0.027829,0.011653,0.241461,0.150062,0.058941
49,0.816667,0.609991,-0.006295,-0.005989,0.269769,-0.168912,0.119497,0.473857,-0.016395,0.022665,0.573221,0.028167,0.015481,0.241039,0.150318,0.060032
50,0.833333,0.609305,-0.005844,-0.001262,0.268269,-0.168536,0.121936,0.473210,-0.016489,0.026082,0.572379,0.028533,0.020068,0.240535,0.150484,0.061186
51,0.850000,0.608650,-0.005497,0.004260,0.266601,-0.168106,0.124841,0.472339,-0.016170,0.030630,0.571508,0.028874,0.025349,0.239946,0.150568,0.062290
52,0.866667,0.607967,-0.005235,0.010434,0.264750,-0.167648,0.128088,0.471400,-0.015920,0.035767,0.570668,0.029124,0.031324,0.239170,0.150642,0.063422
53,0.883333,0.607211,-0.005114,0.017356,0.262584,-0.167089,0.131714,0.470387,-0.015697,0.041427,0.569722,0.029287,0.037925,0.238241,0.150757,0.064660
54,0.900000,0.606316,-0.005053,0.024876,0.260145,-0.166391,0.135734,0.469170,-0.015513,0.047431,0.568610,0.029397,0.044999,0.237253,0.150884,0.065927
55,0.916667,0.605122,-0.004962,0.032817,0.257438,-0.165624,0.140091,0.467717,-0.015381,0.053998,0.567168,0.029569,0.052531,0.236220,0.151052,0.067178
56,0.933333,0.603625,-0.004808,0.041214,0.254458,-0.164694,0.144855,0.465974,-0.015297,0.060935,0.565434,0.029742,0.060591,0.235199,0.151265,0.068342
